,Name,Gender,Age,Destination_Category,Temperature,Budget,Purpose,Num_of_People,Families,Duration,Travel Months,Transportation
57,Shelly Lopez,Female,55,Cruise,Hot,Low,Business,4,0,4,June,Car
58,Scott Taylor,Male,59,Yoga and Wellness Retreat,Cold,Medium,Business,1,1,4,June,Ferry
59,Mikayla Payne,Male,59,Cultural Experience,Hot,High,Business,3,0,10,March,Bus
60,Jeremy Curtis,Male,54,Wildlife Safari,Warm,Low,Leisure,4,1,5,September,Ferry
61,Cheryl Barron,Male,31,Wildlife Safari,Warm,Low,Leisure,4,1,14,June,Car
62,Crystal Miller,Male,28,Village,Hot,Low,Leisure,2,0,3,August,Train
63,Jeffrey Baxter,Male,19,City,Cold,Low,Business,1,0,13,July,Airplane
64,Erin Mack,Female,55,Cruise,Cold,Low,Business,1,0,1,May,Train
65,Amanda Wilson,Male,51,Theme Park,Warm,High,Leisure,1,1,4,February,Train
66,Robert Valdez,Female,46,Jungle,Warm,Medium,Business,3,0,11,July,Car
67,Melissa Cook,Male,49,Fishing Village,Hot,Medium,Business,5,1,10,November,Airplane
68,Randall Mills,Male,23,National Park,Hot,Medium,Leisure,4,0,3,March,Bus
69,Joshua Whitaker,Male,54,Forest,Cold,Low,Leisure,1,0,8,June,Bus
70,David Olson,Female,47,Lake,Hot,High,Business,2,0,4,December,Bus
71,Paul Phillips,Female,28,Lake,Hot,Low,Business,1,0,6,April,Bus
72,Jonathan Edwards,Female,51,Winery,Cold,High,Business,4,1,10,June,Ferry
73,Deborah Patterson,Male,62,Mountain,Cold,Medium,Leisure,2,0,3,August,Airplane
74,Aaron David,Female,38,Cultural Experience,Cold,High,Business,3,0,8,March,Car
75,Corey Davis,Female,61,Lake,Warm,Low,Leisure,1,0,7,July,Car
76,Ricky Wood,Male,58,Music and Festival Tour,Hot,Medium,Business,2,0,10,September,Airplane
77,Mario Duran,Female,21,Forest,Hot,High,Leisure,5,0,4,June,Car
78,Michael Diaz,Female,54,Mountain,Hot,High,Business,1,0,12,February,Car
79,Timothy Hayes,Female,47,Lake,Cold,Medium,Leisure,5,0,11,December,Bus
80,Rebekah Wong,Female,61,Fishing Village,Cold,High,Leisure,1,1,14,June,Car
81,Justin Klein,Male,54,Countryside,Hot,High,Leisure,5,0,7,April,Bus
82,Elizabeth Love,Male,31,Mountain,Cold,High,Business,5,1,6,March,Car
83,Dana Flores,Female,33,Countryside,Warm,Medium,Leisure,5,1,2,June,Bus
84,Victoria Mccoy,Male,19,City,Cold,Low,Leisure,2,0,3,May,Ferry
85,Heather Mcbride,Male,50,Island,Warm,Medium,Leisure,1,0,5,January,Car
86,Claire Burke,Male,33,Island,Warm,High,Business,3,1,12,March,Car
87,Mariah Nicholson,Male,29,Spa Retreat,Warm,Medium,Business,2,0,13,November,Train
88,Tiffany Wilson,Male,43,Theme Park,Hot,Medium,Business,2,0,3,April,Car
89,Benjamin Wang,Female,51,Volcano Exploration,Hot,High,Leisure,2,0,14,September,Car
90,Jennifer Gonzales,Male,30,National Park,Cold,High,Business,3,0,14,October,Car
91,Jimmy Hart,Female,50,Winery,Cold,High,Leisure,2,0,10,February,Car
92,Tiffany Jackson,Male,29,Countryside,Warm,High,Leisure,4,0,7,September,Train
93,Corey Hall,Female,62,Adventure Sports,Warm,Low,Business,5,0,10,February,Train
94,Holly Flores,Female,32,Historical Sites,Hot,Low,Business,4,1,12,November,Bus
95,Patrick Gray,Female,60,Desert,Hot,Medium,Business,2,1,13,May,Airplane
96,Garrett Wiley,Female,19,Fishing Village,Warm,Medium,Leisure,2,1,12,July,Car
97,Terry Ellis,Male,52,Science and Astronomy Tour,Cold,High,Leisure,4,0,14,October,Car
98,Brandon Noble,Female,24,Island,Hot,High,Leisure,2,1,3,April,Bus
99,Andrew Davis,Female,18,Theme Park,Cold,Low,Leisure,4,0,8,September,Ferry
100,John Noble,Female,64,Cruise,Hot,High,Leisure,3,0,3,February,Car
101,Henry Johnson,Female,20,Shopping Extravaganza,Hot,High,Leisure,2,0,12,April,Train
102,Lori Mcdonald,Female,40,National Park,Warm,Medium,Leisure,4,0,8,May,Bus
103,Scott Solomon,Female,41,Village,Cold,Low,Business,2,1,11,April,Bus
104,Steven Howard,Female,28,Music and Festival Tour,Cold,High,Leisure,1,0,11,October,Train
105,Richard Simpson,Male,44,Shopping Extravaganza,Cold,Medium,Business,4,0,9,December,Car
106,Steven Guzman,Female,38,Countryside,Hot,High,Leisure,3,1,9,September,Train
107,Jeffrey Baxter,Male,39,Countryside,Warm,Medium,Business,5,0,8,September,Airplane
108,Megan Yates,Male,33,Art and Architecture Tour,Cold,Low,Leisure,3,1,7,May,Car
109,Tina Simon,Female,35,Countryside,Warm,Low,Leisure,4,0,14,October,Car
110,Bryan Johnson,Female,48,Jungle,Cold,High,Business,4,0,9,October,Ferry
111,Carl Wilson,Male,52,National Park,Warm,High,Leisure,3,1,5,May,Ferry
112,Stacy Smith,Male,58,National Park,Warm,Medium,Leisure,1,1,11,August,Train
113,Austin Kelley,Male,36,Historical Sites,Cold,High,Business,4,1,6,January,Airplane
114,Jared House,Male,45,Volcano Exploration,Warm,Medium,Business,5,0,6,January,Train
115,Matthew Andersen,Male,42,Cruise,Hot,Low,Leisure,3,1,5,September,Airplane
116,Amy Hall,Male,24,Shopping Extravaganza,Hot,High,Leisure,5,1,8,March,Ferry
117,Victor Rogers,Male,44,Forest,Warm,Low,Leisure,2,1,2,May,Train
118,Andrew Finley,Male,27,Art and Architecture Tour,Hot,Low,Leisure,2,0,3,December,Car
119,Yvonne Fernandez,Male,46,National Park,Hot,Low,Business,1,0,13,May,Airplane
120,James Bennett,Female,20,Ski Resort,Warm,High,Leisure,1,1,3,May,Bus
121,Mike Wong,Female,53,Island,Warm,Medium,Leisure,5,0,9,August,Bus
122,Stephen Baldwin,Male,36,Countryside,Hot,Medium,Business,2,1,5,April,Bus
123,Michael Palmer,Female,41,Mountain,Cold,Medium,Business,1,1,1,May,Car
124,Samantha Rowland,Female,41,Theme Park,Warm,High,Business,5,0,4,June,Airplane
125,Taylor Luna,Male,56,Food and Culinary Tour,Warm,Low,Business,3,0,9,March,Ferry
126,Matthew Jenkins,Female,23,Jungle,Cold,High,Leisure,4,1,1,November,Ferry
127,Debra Turner,Male,29,Photography Expedition,Cold,Low,Leisure,3,0,2,March,Car
128,Ryan Dean,Male,58,Wildlife Safari,Cold,Medium,Business,3,1,6,July,Bus
129,Stephanie Floyd,Male,52,Fishing Village,Hot,Medium,Leisure,3,1,3,September,Ferry
130,Matthew Gutierrez,Male,38,Desert,Warm,Medium,Leisure,3,0,11,December,Train
131,Todd Ferguson,Male,24,Volcano Exploration,Cold,Medium,Business,4,0,14,September,Airplane
132,Robert Valdez,Male,47,Cruise,Cold,Low,Leisure,4,1,11,January,Car
133,Amanda Armstrong,Male,42,Village,Cold,High,Business,4,1,14,May,Ferry
134,Amy Smith,Female,28,Lake,Hot,Low,Business,1,1,13,March,Ferry
135,Mark Johnson,Male,54,Cultural Experience,Hot,Low,Leisure,5,0,5,July,Airplane
136,Tristan Clarke,Male,19,Science and Astronomy Tour,Cold,High,Leisure,4,0,5,July,Airplane
137,James Golden,Female,50,Countryside,Warm,High,Business,2,1,12,November,Ferry
138,Christopher Becker,Male,24,Adventure Sports,Hot,High,Business,4,1,3,June,Bus
139,Charles Johnson,Female,37,Theme Park,Warm,Medium,Leisure,1,1,7,September,Ferry
140,Emily Duran,Female,19,Music and Festival Tour,Warm,High,Business,3,1,2,November,Car
141,Joshua Frank,Female,30,Music and Festival Tour,Cold,Medium,Leisure,4,0,10,April,Ferry
142,Angela Montgomery,Male,48,Arctic Expedition,Hot,Medium,Leisure,1,1,13,November,Bus
143,Ronald Graham,Male,40,Cultural Experience,Cold,Low,Leisure,4,1,11,June,Bus
144,James Herrera,Female,61,Countryside,Cold,Medium,Business,5,0,4,April,Car
145,Dr. Joseph Young,Female,41,Island,Cold,Medium,Leisure,2,1,13,November,Train
146,Robert Nielsen,Male,26,Fishing Village,Warm,Medium,Leisure,4,1,3,April,Bus
147,Heidi Middleton,Male,21,National Park,Warm,Low,Business,3,0,8,October,Bus
148,Christine Wagner,Male,35,Beach,Warm,Medium,Business,5,1,2,April,Car
149,Julia Reed,Female,41,Countryside,Cold,Medium,Leisure,3,1,7,June,Train
150,Ann Gutierrez,Male,34,Arctic Expedition,Cold,High,Leisure,4,0,4,January,Ferry
151,Kimberly Bauer,Male,24,Music and Festival Tour,Cold,High,Leisure,2,0,7,August,Airplane
152,Annette Ramirez,Male,32,Ski Resort,Hot,High,Leisure,3,0,10,July,Car
153,Kevin Marshall,Male,25,Winery,Warm,High,Business,3,0,12,April,Airplane
154,Steven Salazar,Female,41,Countryside,Hot,Low,Leisure,4,1,11,August,Train
155,Amber Byrd,Female,54,Historical Sites,Warm,Medium,Leisure,2,0,8,August,Bus
156,Joel Murray,Male,22,National Park,Warm,Medium,Business,4,0,1,August,Car
157,Dana Benson,Female,47,Adventure Sports,Warm,Low,Business,3,0,9,June,Train
158,Mallory Duncan,Male,61,Fishing Village,Warm,High,Business,5,0,1,August,Train
159,Jacqueline Wright,Male,57,Art and Architecture Tour,Hot,Low,Business,5,0,3,June,Train
160,Shaun Wilson,Male,36,Arctic Expedition,Hot,Medium,Business,4,0,10,November,Train
161,Jo Henry,Male,50,Winery,Hot,Low,Leisure,4,0,5,July,Train
162,Daniel Martin,Female,50,Spa Retreat,Warm,Low,Leisure,1,0,12,July,Car
163,Mandy Stanton,Male,53,Beach,Hot,Low,Business,1,1,1,August,Car
164,Donald Webb,Female,58,Shopping Extravaganza,Cold,Medium,Business,1,0,3,December,Bus
165,April Johnson,Male,51,Forest,Hot,Medium,Business,1,0,7,April,Airplane
166,Janice Clarke,Male,47,Lake,Warm,Low,Business,1,1,11,January,Car
167,Samuel Smith,Female,24,Cultural Experience,Warm,Low,Business,2,1,3,October,Airplane
168,Bradley Tyler,Male,24,Forest,Warm,Low,Leisure,4,0,1,June,Car
169,Katherine Boyle,Female,19,Science and Astronomy Tour,Warm,Medium,Leisure,5,0,1,February,Train
170,Blake Maddox,Female,41,Village,Warm,High,Leisure,3,0,4,July,Train
171,Cameron Wright MD,Male,61,Winery,Cold,Low,Business,3,0,3,March,Bus
172,Benjamin Holmes,Female,42,Adventure Sports,Hot,Low,Business,2,0,2,February,Car
173,Jack Smith,Female,28,Lake,Hot,High,Business,1,0,9,February,Ferry
174,Daniel Romero,Female,45,Countryside,Warm,High,Leisure,2,0,5,July,Train
175,Jordan Johnson,Male,42,National Park,Cold,Low,Business,4,1,9,February,Ferry
176,Douglas Browning,Male,29,Desert,Hot,Low,Business,3,0,3,September,Airplane
177,Jennifer Gonzalez,Male,22,Desert,Warm,Low,Leisure,5,1,8,December,Ferry
178,Samuel Brady,Female,26,Music and Festival Tour,Hot,High,Business,4,1,8,February,Airplane
179,Megan Solomon,Female,37,Wildlife Safari,Warm,Low,Business,1,0,14,September,Car
180,Maria Crawford,Female,60,Theme Park,Hot,High,Leisure,5,1,5,July,Ferry
181,Angela Phillips,Male,56,Yoga and Wellness Retreat,Warm,Medium,Leisure,5,0,1,November,Ferry
182,Megan Perry,Male,50,Desert,Hot,Low,Leisure,5,0,8,June,Train
183,Christopher Brown,Female,52,Desert,Hot,Medium,Business,1,1,10,July,Ferry
184,Stephanie Marsh,Female,43,Shopping Extravaganza,Cold,Low,Business,5,0,14,October,Train
185,Jillian Rivera,Female,44,Cultural Experience,Warm,High,Leisure,5,0,4,March,Car
186,Jordan Suarez,Male,60,Arctic Expedition,Warm,Low,Leisure,1,0,11,April,Ferry
187,Chris Wallace,Female,27,Winery,Cold,Medium,Business,3,0,3,February,Airplane
188,Dr. Mark Gillespie PhD,Male,38,Photography Expedition,Cold,High,Business,3,0,2,September,Bus
189,Jason Griffin,Female,30,Photography Expedition,Hot,Medium,Leisure,2,0,4,July,Airplane
190,Carl Vega MD,Male,36,Spa Retreat,Hot,Low,Business,3,0,5,September,Train
191,Linda Smith,Male,47,Theme Park,Warm,Low,Leisure,3,0,2,August,Bus
192,Jessica Andrews,Female,50,Beach,Warm,High,Business,3,0,8,June,Car
193,Alexandra Stewart,Female,27,Countryside,Hot,High,Business,4,1,2,November,Train
194,Joseph Howard,Male,64,Beach,Cold,Medium,Business,3,1,2,February,Car
195,Matthew Davis,Male,42,Art and Architecture Tour,Warm,Medium,Leisure,4,0,6,February,Ferry
196,Stephen Herrera,Male,30,Forest,Cold,High,Business,1,1,11,April,Bus
197,Andrew Bell,Female,61,Historical Sites,Cold,Medium,Leisure,2,1,11,July,Train
198,Samantha Hernandez,Female,49,Winery,Warm,Medium,Leisure,3,1,6,January,Ferry
199,Megan Rowland,Male,33,Yoga and Wellness Retreat,Cold,Low,Business,5,0,7,March,Car
200,Sherry Lee,Male,63,Photography Expedition,Hot,Medium,Leisure,4,0,5,October,Train
201,Amy Jordan,Male,50,National Park,Warm,Medium,Leisure,5,1,8,October,Train
202,Dr. Joseph Young,Female,24,Arctic Expedition,Warm,Low,Leisure,4,0,8,September,Airplane
203,Ashley Lynn,Female,47,Beach,Cold,Medium,Business,2,1,7,May,Airplane
204,Marcus Ramos,Male,43,Desert,Hot,Low,Leisure,2,1,2,November,Train
205,Kristin Mcconnell,Female,33,Forest,Hot,Medium,Business,4,1,11,September,Bus
206,Troy Rios,Male,37,National Park,Warm,Low,Leisure,1,0,11,February,Train
207,Robert White,Female,30,Fishing Village,Warm,High,Business,3,0,11,July,Train
208,Vanessa Rodgers,Male,45,Theme Park,Warm,High,Leisure,1,1,3,April,Airplane
209,Nicole Ward,Male,39,Volcano Exploration,Hot,Medium,Business,1,1,12,June,Car
210,Alan Mitchell,Male,48,Shopping Extravaganza,Hot,High,Business,2,0,2,October,Bus
211,David Price,Female,52,Yoga and Wellness Retreat,Warm,High,Leisure,4,0,9,November,Bus
212,Gregory Johnson,Male,32,Village,Warm,Medium,Business,2,1,8,August,Train
213,Dwayne Morton,Female,50,Photography Expedition,Warm,Medium,Business,1,0,12,September,Ferry
214,Nichole Mitchell,Female,31,Photography Expedition,Hot,Low,Leisure,5,0,9,May,Car
215,Elijah Gonzales,Male,23,Volcano Exploration,Hot,High,Leisure,4,0,6,August,Bus
216,Mr. Mark Petersen,Male,24,Food and Culinary Tour,Hot,Medium,Business,1,1,6,April,Train
217,Jennifer Parker,Female,27,Winery,Warm,Low,Business,2,1,10,August,Ferry
218,Anna Scott,Female,51,Mountain,Cold,Medium,Leisure,5,1,13,December,Ferry
219,Debra Raymond,Female,29,Mountain,Cold,Medium,Business,3,0,6,June,Train
220,Kaitlyn Mcintosh,Male,52,Food and Culinary Tour,Warm,Medium,Leisure,5,1,4,October,Car
221,Elizabeth Conway,Female,42,Fishing Village,Cold,High,Business,1,1,11,April,Bus
222,Andrea Martinez,Male,31,Adventure Sports,Warm,Low,Business,1,1,11,May,Car
223,Michael Hall,Female,22,Village,Warm,Low,Business,2,1,4,June,Bus
224,Luis Dunn,Female,41,Lake,Hot,Medium,Leisure,5,0,9,December,Ferry
225,Bobby Lee,Female,48,Village,Cold,Medium,Leisure,3,1,10,November,Car
226,Christopher Gilmore,Female,56,Wildlife Safari,Warm,Medium,Leisure,1,0,6,April,Ferry
227,Joseph Mcconnell,Female,22,Village,Warm,Low,Leisure,1,0,7,April,Car
228,Cody Mendez,Male,45,Mountain,Hot,High,Business,1,1,1,July,Car
229,Melissa Smith,Female,60,Winery,Warm,Medium,Leisure,2,1,4,June,Bus
230,Cameron Nunez,Female,50,Science and Astronomy Tour,Cold,Medium,Leisure,1,1,11,August,Bus
231,Richard Jones,Male,34,Art and Architecture Tour,Hot,Low,Business,1,0,5,January,Airplane
232,Joel Browning DDS,Male,63,Village,Cold,Low,Business,1,0,6,June,Airplane
233,Danny Peterson,Male,53,Mountain,Cold,Low,Leisure,1,1,14,June,Car
234,Anthony Patton,Female,42,Historical Sites,Hot,Medium,Business,4,1,1,June,Car
235,Joshua Keller,Female,42,Shopping Extravaganza,Hot,Low,Leisure,2,0,6,June,Airplane
236,Tiffany Nichols,Female,39,Jungle,Warm,High,Leisure,1,1,6,April,Ferry
237,Daniel Keller,Male,47,Shopping Extravaganza,Hot,High,Business,3,1,6,June,Bus
238,Emily Haynes,Male,42,Arctic Expedition,Warm,Low,Leisure,1,1,9,September,Car
239,Lori Mcdonald,Female,27,Island,Cold,High,Business,3,1,14,October,Bus
240,Amber Singleton,Male,46,Winery,Hot,Low,Leisure,5,0,7,March,Ferry
241,Joel Martinez,Male,49,Food and Culinary Tour,Cold,High,Leisure,1,0,1,February,Train
242,Sheila Anderson,Female,61,Mountain,Cold,Medium,Business,4,0,11,May,Train
243,Alyssa Olson,Female,41,Forest,Warm,Low,Business,5,0,6,October,Bus
244,Holly Barnes,Male,47,Beach,Hot,Low,Business,3,1,12,October,Ferry
245,Paige Thomas,Male,43,Volcano Exploration,Warm,Low,Leisure,5,1,10,June,Bus
246,Mallory Duncan,Female,22,Cruise,Warm,High,Leisure,5,0,6,March,Bus
247,Melissa Perez,Male,43,Mountain,Hot,Low,Leisure,2,1,1,June,Train
248,Kimberly Murphy,Female,25,Volcano Exploration,Hot,Medium,Leisure,1,0,11,April,Car
249,Matthew Tyler,Male,28,Beach,Hot,High,Leisure,4,0,5,June,Ferry
250,Darlene Aguirre,Male,31,Island,Warm,Low,Business,4,0,11,February,Train
251,Tyler Rodgers,Male,41,Photography Expedition,Warm,Medium,Leisure,1,0,6,June,Airplane
252,Jamie Perry,Female,39,Volcano Exploration,Hot,High,Leisure,2,0,4,July,Bus
253,Allison Anderson,Male,59,Beach,Cold,Low,Leisure,4,0,3,March,Ferry
254,Amber Wagner,Male,39,Spa Retreat,Cold,High,Business,5,0,9,August,Train
255,David Blair,Male,52,Shopping Extravaganza,Warm,Low,Leisure,5,0,1,July,Ferry
256,Brian Miller,Male,22,Shopping Extravaganza,Warm,Medium,Leisure,5,1,10,December,Bus
257,Jeanne Berry,Female,25,Mountain,Cold,Low,Business,3,0,6,February,Ferry
258,Roy Williams,Male,53,City,Cold,Medium,Leisure,2,0,5,April,Bus
259,Tiffany Mcclain,Female,22,Cultural Experience,Warm,Medium,Business,2,1,6,April,Ferry
260,Jason Shaw,Female,43,Beach,Cold,Medium,Business,3,1,8,September,Car
261,Angela Clark,Male,42,Desert,Warm,High,Business,3,0,2,June,Airplane
262,Ellen Briggs,Male,60,Volcano Exploration,Hot,High,Business,4,1,11,June,Train
263,Brady Brown,Male,22,Religious Pilgrimage,Cold,Medium,Leisure,2,1,4,November,Car
264,Joseph Reed,Female,22,Countryside,Cold,High,Business,4,1,9,March,Airplane
265,Sandra Williams,Male,21,Religious Pilgrimage,Cold,Medium,Business,2,0,1,July,Car
266,Katherine Hampton,Male,41,Wildlife Safari,Warm,Low,Leisure,3,1,9,November,Bus
267,John Hudson,Female,25,Volcano Exploration,Hot,Low,Business,4,0,3,May,Train
268,Daniel Dixon,Female,49,Lake,Cold,Medium,Business,4,1,2,October,Car
269,Tracey Madden,Female,44,Photography Expedition,Hot,Low,Business,1,1,2,August,Car
270,Michael Huang,Female,26,Science and Astronomy Tour,Hot,Low,Leisure,2,0,4,October,Bus
271,Carol Larsen,Male,47,Photography Expedition,Hot,Medium,Leisure,1,1,7,September,Train
272,Jared Thomas,Female,62,Ski Resort,Warm,Medium,Business,4,1,12,February,Car
273,Nichole Mcdowell,Male,53,Countryside,Cold,High,Business,3,0,8,July,Bus
274,Philip Bray,Male,39,Mountain,Warm,Medium,Business,5,0,2,September,Car
275,Lauren Simmons,Female,53,Village,Warm,Low,Leisure,4,1,1,December,Car
276,Margaret Bailey,Male,21,Arctic Expedition,Cold,High,Leisure,4,1,12,October,Car
277,Brian Smith,Male,28,Food and Culinary Tour,Cold,High,Business,4,0,4,December,Ferry
278,Rhonda Cohen,Male,35,Wildlife Safari,Hot,High,Leisure,1,0,2,April,Car
279,William Lloyd,Male,31,Adventure Sports,Cold,Low,Business,3,0,14,January,Ferry
280,Juan Todd,Male,49,Food and Culinary Tour,Warm,Medium,Business,1,0,2,October,Ferry
281,Michael Cabrera,Female,39,Art and Architecture Tour,Cold,Medium,Business,2,0,1,December,Train
282,Donald Salinas,Male,31,Volcano Exploration,Cold,Medium,Business,2,1,1,October,Bus
283,Ashley Barnes,Female,40,Beach,Cold,Medium,Business,1,0,7,July,Train
284,Stephanie Brown,Male,38,City,Hot,High,Leisure,3,0,8,July,Ferry
285,Amanda Martin,Female,20,Jungle,Hot,Medium,Business,4,0,5,November,Car
286,Robert Anderson,Female,46,Island,Warm,Medium,Business,4,0,9,September,Car
287,James Gilmore,Female,48,Music and Festival Tour,Hot,Medium,Leisure,1,0,14,September,Car
288,Ruben Jones,Male,31,Jungle,Cold,Low,Business,1,1,10,February,Car
289,Ariel Price,Female,35,Cultural Experience,Hot,High,Business,3,1,10,October,Car
290,Derek Frank,Male,40,Historical Sites,Cold,High,Leisure,2,1,13,October,Bus
291,Sylvia Nguyen,Female,27,Food and Culinary Tour,Cold,High,Leisure,4,0,2,March,Train
292,Anthony Walker,Female,18,Ski Resort,Warm,Low,Leisure,5,0,12,October,Train
293,Christina Long,Female,53,Photography Expedition,Warm,Low,Business,1,0,4,September,Car
294,Brian Bradley,Female,35,Island,Cold,Medium,Leisure,2,1,3,January,Ferry
295,Brandon Miller,Female,35,Fishing Village,Cold,Low,Business,1,1,9,May,Ferry
296,Jason Vincent,Female,46,Winery,Cold,Medium,Business,1,1,3,May,Bus
297,Casey Walker,Male,27,Jungle,Cold,High,Leisure,4,0,4,September,Train
298,Robert Molina,Male,28,Art and Architecture Tour,Cold,High,Business,5,0,9,December,Train
299,Michael Smith,Male,44,City,Hot,High,Leisure,3,0,11,November,Airplane
300,John Richardson,Female,28,Art and Architecture Tour,Hot,Low,Leisure,5,0,13,April,Airplane
301,Joseph Howard,Male,61,Cruise,Warm,Medium,Business,2,0,12,August,Train
302,Lisa Zamora,Female,20,Village,Warm,Low,Leisure,2,1,10,November,Car
303,Larry Sanchez,Male,29,Jungle,Cold,Low,Leisure,1,0,8,November,Car
304,Joy Smith,Female,60,City,Cold,Low,Business,1,0,14,February,Bus
305,Nicholas Douglas,Male,57,Wildlife Safari,Warm,High,Business,3,1,14,November,Train
306,Shawn Hardy,Female,44,Adventure Sports,Hot,Medium,Leisure,5,0,13,August,Ferry
307,Amy Hansen,Female,35,Arctic Expedition,Cold,Low,Business,4,1,14,February,Ferry
