,Name,Gender,Age,Destination_Category,Temperature,Budget,Purpose,Num_of_People,Families,Duration,Travel Months,Transportation,Hobby,Language
21,Tiffany Franklin,Female,39,Mountain,Hot,Low,Leisure,3,0,11,August,Train,Gaming,ZH
22,Alexis Moore,Female,56,Countryside,Hot,High,Leisure,1,1,6,August,Car,Climbing,FR
23,Scott Branch,Male,33,Island,Hot,High,Business,4,0,12,June,Bus,Climbing,EN
24,Ashley Knight,Male,42,Village,Cold,Medium,Business,1,0,13,June,Bus,Drawing,EN
25,Laura Lang,Female,50,Island,Hot,Medium,Leisure,3,0,12,June,Airplane,Photography,EN
26,Elizabeth Meyer,Male,55,Photography Expedition,Warm,High,Business,4,1,6,June,Car,Drawing,ZH
27,Bridget Miller,Male,35,Spa Retreat,Warm,Medium,Leisure,2,0,2,June,Car,Drawing,FR
28,Amy Kelly,Female,48,Ski Resort,Cold,High,Leisure,3,1,11,July,Train,Photography,ZH
29,Jeremiah Frank,Female,41,Winery,Cold,Low,Leisure,2,0,9,June,Train,Climbing,ZH
30,Louis White,Female,36,Ski Resort,Cold,Medium,Leisure,3,0,11,July,Airplane,Climbing,ZH
31,Michelle Johnson,Male,42,Countryside,Warm,Low,Business,4,1,11,June,Ferry,Photography,ZH
32,Christy Horton,Female,34,Spa Retreat,Warm,High,Business,1,0,9,August,Ferry,Drawing,ZH
33,Shelly Mitchell,Female,59,Village,Cold,Low,Business,5,0,12,June,Car,Gaming,ZH
34,George Lawrence,Female,32,Countryside,Cold,Low,Business,5,1,1,July,Train,Drawing,FR
35,Jonathon Riley,Male,33,Countryside,Hot,Medium,Business,2,1,4,August,Bus,Gaming,FR
36,Christina Martin,Male,61,Mountain,Warm,Low,Business,3,0,14,June,Car,Photography,FR
37,Makayla Phillips,Female,37,Countryside,Hot,Low,Business,1,0,2,June,Bus,Gaming,FR
38,Stephanie Hopkins,Female,43,Photography Expedition,Hot,Medium,Business,5,1,12,June,Airplane,Climbing,ZH
39,Richard Davis,Male,55,Winery,Hot,High,Leisure,2,1,8,July,Bus,Drawing,EN
40,Jessica Martinez,Female,63,Mountain,Warm,Low,Leisure,2,1,8,July,Car,Drawing,EN
41,Brian Martinez,Female,20,Photography Expedition,Warm,Medium,Leisure,5,1,5,August,Ferry,Climbing,EN
42,Jose Brown,Male,55,Countryside,Hot,High,Business,5,0,11,June,Airplane,Drawing,EN
43,Christopher Brown,Female,64,Photography Expedition,Hot,Medium,Business,5,1,8,August,Car,Gaming,FR
44,Matthew Vance,Male,34,City,Warm,High,Business,3,0,12,June,Airplane,Gaming,ZH
45,Rachel Rhodes,Male,64,Island,Warm,High,Leisure,1,1,10,August,Airplane,Drawing,FR
46,Joshua Gordon,Female,46,Spa Retreat,Hot,Medium,Leisure,4,0,14,June,Ferry,Climbing,EN
47,Susan Aguilar,Male,45,Lake,Cold,Low,Business,3,1,13,July,Bus,Climbing,FR
48,Regina Glover,Female,35,Spa Retreat,Hot,High,Leisure,1,0,4,August,Train,Climbing,EN
49,Amanda Roach,Male,35,Island,Hot,Low,Business,3,1,13,July,Airplane,Gaming,FR
50,David Davis,Male,62,Mountain,Hot,Medium,Business,2,1,10,July,Airplane,Drawing,EN
51,Devin Espinoza,Male,50,Photography Expedition,Warm,Medium,Leisure,5,1,11,August,Car,Gaming,ZH
52,Julie Perez,Female,25,Mountain,Hot,Medium,Business,1,0,1,July,Bus,Photography,EN
53,Joseph Ortiz,Male,51,Lake,Hot,Low,Leisure,2,1,3,August,Car,Climbing,FR
54,Tara Pratt DDS,Female,62,City,Cold,Medium,Business,3,1,13,June,Train,Photography,FR
55,Andrea Simpson,Male,23,Photography Expedition,Cold,Medium,Leisure,5,0,7,July,Car,Photography,ZH
56,Caleb Saunders,Male,52,Spa Retreat,Warm,Medium,Business,2,0,9,July,Ferry,Photography,EN
57,Gregory Bond,Female,41,City,Warm,Medium,Leisure,4,1,9,August,Airplane,Gaming,ZH
58,Jason Flores,Female,32,Winery,Hot,High,Leisure,1,0,7,July,Train,Drawing,FR
59,Leslie Russell,Male,46,Mountain,Warm,Low,Leisure,4,1,13,August,Car,Drawing,EN
60,Rachael Parker,Female,61,Mountain,Hot,Medium,Leisure,4,0,7,August,Ferry,Photography,ZH
61,Megan Thompson,Female,57,Village,Warm,Medium,Leisure,1,1,13,July,Airplane,Climbing,ZH
62,Krystal Lawrence,Female,28,Mountain,Cold,Medium,Leisure,1,1,12,June,Car,Climbing,EN
63,Matthew Wallace,Female,43,Village,Hot,High,Leisure,3,1,2,August,Airplane,Gaming,ZH
64,Patricia Blackwell,Male,25,Winery,Hot,High,Leisure,3,0,10,July,Airplane,Drawing,EN
65,Anthony Jones,Female,23,Lake,Hot,High,Leisure,3,0,9,August,Airplane,Climbing,FR
66,Terry Taylor,Female,38,Ski Resort,Warm,High,Leisure,2,1,4,July,Car,Photography,EN
67,Katrina Owens,Male,25,Lake,Warm,Medium,Business,2,1,12,June,Bus,Photography,EN
68,Kristi Brown,Female,27,Ski Resort,Hot,Low,Business,3,0,6,August,Train,Photography,EN
69,John Thompson,Female,60,Winery,Warm,High,Business,1,0,13,August,Airplane,Photography,ZH
70,Crystal Douglas,Male,52,Mountain,Cold,High,Business,3,0,8,June,Train,Photography,ZH
71,Victor Moyer,Male,26,Spa Retreat,Hot,High,Leisure,1,0,2,July,Ferry,Climbing,FR
72,Vanessa Hall,Male,64,City,Cold,Medium,Business,4,0,14,June,Train,Photography,FR
73,Ashley Benson,Male,63,Ski Resort,Hot,Low,Leisure,5,1,4,June,Bus,Photography,FR
74,Sara Long,Male,35,Spa Retreat,Hot,Medium,Leisure,2,0,13,August,Car,Gaming,FR
75,Whitney Barajas,Male,29,Village,Warm,High,Business,2,1,11,July,Car,Photography,EN
76,Bradley Fuller,Female,19,Mountain,Cold,High,Business,4,0,12,June,Bus,Gaming,ZH
77,Terrence Murray,Male,19,Countryside,Warm,Medium,Leisure,1,0,14,June,Train,Photography,ZH
78,Kyle Washington,Male,62,Island,Warm,Low,Leisure,2,0,8,July,Airplane,Gaming,EN
79,Martin Pierce,Female,64,Spa Retreat,Warm,Medium,Business,2,0,6,August,Car,Climbing,ZH
80,Karen Taylor,Female,30,Ski Resort,Warm,Low,Business,5,0,8,July,Bus,Photography,ZH
81,Kathryn Goodwin,Male,28,Ski Resort,Hot,Low,Business,4,1,1,July,Ferry,Photography,FR
82,Heather Johnson,Female,55,Mountain,Hot,High,Leisure,2,1,12,June,Train,Photography,ZH
83,Christopher Clark,Male,19,Village,Cold,Medium,Business,4,0,14,July,Bus,Climbing,FR
84,Kimberly Hunt,Female,61,Ski Resort,Warm,Low,Leisure,1,0,1,June,Bus,Photography,ZH
85,Timothy Jackson,Male,43,Ski Resort,Hot,Low,Leisure,5,1,6,August,Train,Climbing,ZH
86,Jennifer Harris,Female,58,Lake,Warm,Low,Leisure,2,1,14,June,Car,Gaming,FR
87,Steven Wise,Male,24,Lake,Hot,High,Leisure,3,1,2,July,Bus,Gaming,EN
88,Mr. Robert Neal MD,Male,23,Island,Hot,Medium,Leisure,5,0,13,July,Ferry,Gaming,FR
89,Gregory Bright,Female,44,Village,Cold,High,Leisure,4,0,11,July,Ferry,Photography,ZH
90,Matthew Jacobs,Male,58,Spa Retreat,Hot,Medium,Business,5,1,6,July,Train,Photography,EN
91,Jordan Lin,Male,18,Winery,Hot,High,Leisure,4,1,9,July,Ferry,Photography,FR
92,Logan Wilson,Female,39,Photography Expedition,Warm,Low,Leisure,5,1,5,June,Airplane,Photography,ZH
93,Allison Stokes,Male,24,City,Cold,Medium,Business,5,1,4,June,Car,Climbing,EN
94,Shari Day,Female,47,Mountain,Hot,High,Business,5,1,1,August,Airplane,Photography,FR
95,Walter Munoz,Female,49,Village,Hot,High,Leisure,5,0,7,June,Airplane,Climbing,ZH
96,John Carr,Female,28,Mountain,Hot,Low,Leisure,2,0,3,July,Car,Photography,FR
97,Eric Brown,Male,47,Photography Expedition,Cold,Medium,Business,2,0,3,August,Airplane,Photography,FR
98,Kim Edwards,Male,62,Island,Warm,Medium,Leisure,5,0,12,August,Car,Photography,EN
99,Darlene Sanchez,Male,18,City,Warm,Medium,Leisure,5,1,6,July,Bus,Gaming,ZH
100,Charles Dickson,Male,40,Winery,Cold,Medium,Leisure,4,0,2,August,Bus,Photography,ZH
101,Michelle Mills,Male,34,Photography Expedition,Hot,High,Business,1,0,11,June,Train,Climbing,EN
102,Paul Harmon,Female,19,Photography Expedition,Hot,High,Leisure,1,0,12,June,Airplane,Photography,EN
103,William Taylor,Male,21,Lake,Cold,High,Business,1,1,13,June,Car,Photography,EN
104,Kristin Patterson,Female,21,City,Warm,Low,Leisure,2,1,13,July,Airplane,Drawing,EN
105,Maria Rivera,Male,25,Winery,Cold,High,Leisure,4,1,4,July,Ferry,Gaming,ZH
106,Caitlin Jones,Male,22,Mountain,Warm,Medium,Business,5,1,10,June,Bus,Drawing,FR
107,Lisa Reyes,Male,46,City,Warm,Medium,Leisure,3,0,8,July,Train,Climbing,FR
108,Joseph Boone,Female,28,Winery,Cold,High,Business,5,1,5,August,Train,Gaming,FR
109,Michelle Stanley,Male,62,Mountain,Warm,High,Leisure,1,1,4,June,Ferry,Climbing,EN
110,Angelica Cook,Female,23,Winery,Warm,Low,Leisure,2,1,5,August,Ferry,Drawing,FR
111,Kenneth Perez,Male,63,Countryside,Cold,Low,Business,4,0,6,July,Bus,Drawing,FR
112,James Mclean,Female,35,Ski Resort,Hot,High,Business,5,0,1,July,Ferry,Photography,EN
113,Dennis Pratt,Female,23,Island,Cold,Medium,Leisure,4,0,13,July,Airplane,Drawing,FR
114,Brittany Wilson,Male,45,Countryside,Cold,Low,Business,3,1,10,June,Car,Gaming,ZH
115,Melissa Mckinney,Male,33,City,Warm,Medium,Business,3,0,3,July,Airplane,Gaming,FR
116,Lauren Valdez,Male,48,Island,Hot,Low,Leisure,5,0,2,June,Train,Gaming,ZH
117,Rachel Dunlap,Female,22,Photography Expedition,Warm,Medium,Business,4,1,4,August,Ferry,Climbing,ZH
118,Justin Barnes,Female,57,Island,Hot,Low,Business,4,0,2,August,Car,Climbing,FR
119,Laura Lee,Male,25,Countryside,Hot,High,Business,2,1,1,June,Airplane,Photography,EN
120,Angela Sandoval,Female,25,Photography Expedition,Hot,Medium,Leisure,5,0,7,June,Airplane,Climbing,EN
121,Rebecca Campbell,Female,21,City,Warm,Medium,Leisure,2,1,8,June,Ferry,Gaming,EN
122,Brett Jones,Female,64,Village,Cold,High,Business,3,1,2,August,Bus,Drawing,EN
123,Lauren Baldwin,Female,62,Winery,Cold,Low,Leisure,1,1,9,June,Train,Drawing,ZH
124,William Spencer,Female,38,Ski Resort,Cold,High,Leisure,5,1,6,July,Train,Climbing,ZH
125,Roberto Harris,Female,41,Photography Expedition,Cold,High,Leisure,4,1,12,August,Bus,Climbing,ZH
126,Shannon Lane,Male,39,Ski Resort,Warm,Medium,Leisure,3,0,12,June,Airplane,Photography,FR
127,Christina Ramsey,Female,19,Spa Retreat,Hot,Medium,Business,5,0,11,August,Ferry,Climbing,FR
128,Dr. Margaret Williams,Female,22,Spa Retreat,Hot,Medium,Business,1,1,3,July,Airplane,Drawing,FR
129,Mary Pierce,Female,45,City,Hot,Low,Leisure,3,1,5,July,Train,Climbing,EN
130,David Whitaker,Female,43,Countryside,Cold,High,Business,3,1,3,July,Bus,Drawing,EN
131,David Campbell,Male,18,Countryside,Hot,Low,Business,5,1,3,June,Airplane,Photography,ZH
132,Jeffrey Riggs,Male,51,Winery,Hot,High,Leisure,4,1,12,June,Train,Drawing,FR
133,Cheyenne Brown,Male,62,Island,Cold,High,Business,1,1,3,July,Train,Drawing,FR
134,John Caldwell,Male,64,City,Warm,Medium,Business,3,1,4,July,Ferry,Photography,ZH
135,Leslie Shepherd,Female,58,Village,Cold,High,Business,1,0,13,July,Car,Climbing,ZH
136,Amber Ballard,Male,61,Village,Hot,Medium,Business,1,1,12,July,Train,Drawing,ZH
137,Marilyn Cain,Male,22,Photography Expedition,Hot,High,Leisure,5,0,10,June,Airplane,Gaming,FR
138,Joshua Kelly,Male,59,Countryside,Hot,High,Leisure,1,0,6,July,Airplane,Gaming,ZH
139,William Thompson,Male,43,Photography Expedition,Hot,High,Leisure,5,1,12,July,Ferry,Gaming,FR
140,Debra Mendez,Female,49,Village,Hot,Low,Leisure,3,0,5,August,Train,Drawing,ZH
141,Joel Adkins,Male,42,City,Warm,Medium,Leisure,5,1,5,August,Ferry,Climbing,EN
142,Hannah Glenn,Male,36,Countryside,Cold,High,Leisure,4,0,4,August,Airplane,Drawing,FR
143,Mark Jones,Male,45,Village,Hot,Medium,Business,3,0,2,July,Ferry,Photography,EN
144,Kimberly Bailey,Male,46,Winery,Hot,Medium,Leisure,4,1,14,June,Car,Climbing,FR
145,Raymond Phelps,Male,51,Photography Expedition,Cold,Medium,Leisure,5,1,9,July,Ferry,Gaming,FR
146,Charles Vargas,Male,63,Spa Retreat,Cold,Low,Business,5,0,8,August,Car,Photography,ZH
147,Eric Wallace,Male,41,Spa Retreat,Warm,Medium,Leisure,4,1,3,July,Bus,Climbing,EN
148,Eric Cochran,Male,56,City,Cold,Low,Leisure,5,0,10,June,Airplane,Drawing,ZH
149,Joanne Robbins,Female,45,Island,Warm,Low,Business,4,0,12,June,Train,Climbing,FR
150,Lori Boyer,Male,33,Photography Expedition,Warm,Medium,Leisure,3,1,7,July,Bus,Photography,FR
151,Melissa Mckinney,Female,21,Countryside,Hot,Low,Leisure,1,1,3,June,Car,Drawing,ZH
152,Bradley Bryant,Female,54,Photography Expedition,Cold,High,Business,5,0,9,July,Airplane,Photography,ZH
153,Matthew Oconnor,Female,36,Photography Expedition,Hot,Low,Leisure,2,1,13,July,Bus,Drawing,ZH
154,Amanda Hall,Male,59,Ski Resort,Warm,Low,Business,2,1,12,June,Train,Photography,EN
155,Colin Kelly,Male,37,Village,Hot,High,Business,1,1,11,June,Train,Drawing,EN
156,Christina Wiggins,Male,38,Ski Resort,Cold,Medium,Business,5,0,12,June,Airplane,Climbing,EN
157,Dale Atkinson,Female,48,Photography Expedition,Warm,High,Business,4,0,2,August,Train,Gaming,FR
158,Allen Zhang,Female,34,Island,Hot,Low,Leisure,5,0,13,August,Bus,Photography,EN
159,Alexander Guerra,Female,59,Village,Hot,Medium,Business,3,1,9,August,Bus,Drawing,FR
160,Russell Davis,Female,31,Photography Expedition,Warm,High,Leisure,3,0,10,August,Train,Drawing,FR
161,Sherry Elliott,Male,35,Winery,Cold,Medium,Leisure,5,1,13,July,Car,Drawing,ZH
162,Deborah Marsh,Female,63,Lake,Cold,Low,Business,4,0,10,July,Car,Gaming,ZH
163,Lauren Rivera,Male,26,Mountain,Warm,Low,Leisure,2,0,12,August,Car,Gaming,ZH
164,Heather Johnson,Male,64,Lake,Cold,Medium,Business,5,1,5,July,Train,Photography,EN
165,Frederick Thomas,Female,50,Countryside,Warm,Low,Leisure,1,0,5,June,Train,Gaming,FR
166,Kimberly Walton,Male,35,Spa Retreat,Hot,Low,Leisure,4,1,14,July,Car,Photography,FR
167,Julie Robbins,Female,61,Countryside,Hot,Low,Leisure,4,1,2,July,Train,Drawing,FR
168,Jared Frye,Male,30,City,Hot,High,Business,2,0,8,June,Train,Gaming,EN
169,Robyn Russell,Female,32,Village,Hot,Medium,Business,1,0,11,June,Airplane,Climbing,ZH
170,Tammy Wright,Female,32,Photography Expedition,Cold,Medium,Leisure,3,0,1,August,Ferry,Photography,FR
171,Colton Smith,Female,62,Island,Hot,High,Business,4,0,4,July,Train,Climbing,EN
172,Sandra Miranda,Female,20,Village,Warm,Medium,Leisure,2,0,14,July,Ferry,Climbing,ZH
173,Kimberly Gomez,Female,42,Countryside,Warm,Low,Leisure,4,0,12,August,Train,Drawing,EN
174,Lauren Anderson,Male,19,Village,Warm,High,Leisure,3,1,9,July,Car,Gaming,FR
175,Carlos Lee,Male,51,Village,Warm,Low,Leisure,1,0,11,July,Train,Climbing,EN
176,Jeffrey Warren,Female,58,Winery,Hot,Medium,Leisure,2,1,12,August,Ferry,Photography,FR
177,Austin Walker,Male,56,Countryside,Cold,Medium,Business,3,0,5,July,Airplane,Gaming,EN
178,Alicia Andrews,Female,22,Mountain,Hot,High,Business,2,1,10,July,Airplane,Drawing,FR
179,David Blackburn,Female,18,Lake,Warm,Medium,Leisure,2,0,6,August,Airplane,Photography,EN
180,Jason Jordan,Female,45,Photography Expedition,Warm,Medium,Leisure,1,0,14,July,Airplane,Climbing,FR
181,Renee Gardner,Male,31,Village,Hot,Low,Leisure,1,1,14,August,Airplane,Climbing,FR
182,Christopher Flores,Female,28,Countryside,Warm,Low,Business,1,0,8,August,Bus,Climbing,FR
183,Andrea Gomez,Male,33,Island,Hot,High,Leisure,3,0,12,June,Train,Photography,ZH
184,Diana Allen,Male,51,Village,Warm,Medium,Leisure,4,0,12,June,Train,Photography,ZH
185,Dr. Veronica Levine PhD,Male,60,Photography Expedition,Hot,High,Leisure,4,1,3,August,Airplane,Climbing,ZH
186,James Lutz,Female,31,Village,Hot,Low,Business,5,0,4,June,Car,Gaming,EN
187,Shelley Mosley,Male,60,Lake,Cold,Medium,Leisure,2,0,10,June,Train,Climbing,FR
188,Tanner Hamilton,Male,37,Mountain,Hot,Low,Business,4,0,2,July,Train,Drawing,EN
189,Amanda Dalton,Male,58,Spa Retreat,Hot,High,Business,3,0,1,August,Airplane,Climbing,FR
190,Ann Alvarado,Female,60,Lake,Cold,Medium,Leisure,5,0,11,August,Car,Photography,FR
191,Sophia Mills,Male,55,Photography Expedition,Hot,Medium,Business,3,0,8,July,Airplane,Drawing,EN
192,Connie Jarvis,Male,37,Spa Retreat,Cold,Low,Business,2,0,3,July,Ferry,Gaming,FR
193,Michael Kelly,Female,52,Countryside,Warm,High,Leisure,3,0,12,July,Car,Photography,FR
194,Nicole Waters,Male,43,City,Warm,Low,Business,2,1,10,August,Airplane,Climbing,FR
195,Tracy Moore,Female,33,Ski Resort,Cold,Medium,Leisure,1,1,11,June,Car,Drawing,EN
196,Lisa Sanders,Male,21,Lake,Warm,High,Business,5,0,1,June,Train,Climbing,EN
197,Marvin Walker,Female,37,Lake,Hot,Low,Business,4,1,1,July,Bus,Gaming,ZH
198,Cynthia Boyd,Male,30,City,Cold,Medium,Business,3,1,12,August,Car,Gaming,FR
199,David Sullivan,Male,23,City,Cold,Medium,Business,2,1,9,June,Car,Gaming,ZH
200,Elizabeth Salazar,Female,53,Winery,Hot,Low,Leisure,3,1,3,August,Train,Climbing,FR
201,Gregory Lucas,Female,36,City,Warm,Medium,Leisure,2,0,1,June,Ferry,Drawing,ZH
202,Rachael Myers,Male,51,Island,Warm,Low,Leisure,1,0,12,July,Ferry,Gaming,ZH
203,Joseph Mitchell,Male,45,Photography Expedition,Hot,Low,Leisure,5,1,12,July,Car,Climbing,EN
204,Anthony Bond,Female,25,Village,Warm,High,Leisure,4,0,14,June,Ferry,Photography,FR
205,Carol Johnson,Female,39,Mountain,Hot,High,Leisure,3,1,6,July,Bus,Photography,EN
206,Lauren Simmons,Male,21,Spa Retreat,Cold,Medium,Leisure,2,0,3,July,Airplane,Drawing,FR
207,Erika Dunn,Female,37,Island,Hot,Low,Leisure,4,1,5,June,Airplane,Photography,FR
208,Patricia Francis,Female,45,City,Cold,High,Business,3,1,13,June,Car,Climbing,FR
209,James Norman,Female,40,Village,Hot,Low,Leisure,5,0,5,August,Bus,Gaming,ZH
210,Terri Stewart,Female,23,Countryside,Cold,High,Business,3,1,1,July,Airplane,Climbing,EN
211,Timothy Rice,Female,62,Lake,Warm,High,Business,5,0,8,August,Airplane,Drawing,EN
212,Kim Sullivan,Male,20,Island,Hot,Low,Business,1,0,2,July,Ferry,Climbing,FR
213,Emily Rodriguez,Male,46,Lake,Cold,Medium,Business,3,1,9,June,Airplane,Gaming,EN
214,Frank Williams,Female,22,Spa Retreat,Cold,High,Leisure,5,0,13,August,Ferry,Photography,ZH
215,Emily Garcia,Male,18,Winery,Hot,High,Leisure,1,0,3,July,Airplane,Climbing,FR
216,Zachary Martin,Female,19,Island,Warm,Low,Leisure,4,0,6,July,Train,Drawing,ZH
217,James Johnson,Male,64,Winery,Warm,Low,Business,1,0,13,July,Train,Gaming,FR
218,Justin Phillips,Female,56,Lake,Warm,Medium,Leisure,2,0,14,June,Train,Drawing,FR
219,Tracey Sellers,Male,50,Ski Resort,Cold,Medium,Business,3,1,11,August,Train,Photography,EN
220,Laura Zhang,Female,36,Lake,Warm,Low,Business,2,1,2,June,Ferry,Photography,EN
221,Pamela Walker,Male,38,Lake,Hot,Low,Business,3,0,2,July,Bus,Climbing,FR
222,Monique Jenkins,Female,25,Winery,Hot,Low,Leisure,2,1,4,June,Ferry,Climbing,ZH
223,Jenny Carpenter,Female,37,Photography Expedition,Hot,High,Business,5,1,13,August,Airplane,Gaming,EN
224,Francis Huang,Female,26,City,Cold,High,Business,1,1,7,August,Bus,Photography,FR
225,Brandon Rogers,Female,57,Village,Warm,Low,Leisure,5,0,14,June,Car,Climbing,ZH
226,Alyssa Larson,Female,33,Ski Resort,Hot,Low,Business,2,1,5,June,Car,Drawing,ZH
227,Charlotte Burns,Female,30,Mountain,Hot,Low,Business,3,0,8,July,Ferry,Drawing,EN
228,Reginald Parker,Male,28,Village,Warm,Medium,Business,1,0,10,June,Bus,Drawing,ZH
229,Christina Dominguez,Male,27,Lake,Warm,Low,Leisure,5,1,8,July,Car,Climbing,FR
230,Erik Mitchell,Female,58,Winery,Cold,Low,Leisure,2,0,5,July,Bus,Photography,FR
231,Dakota Estrada,Female,33,Winery,Hot,High,Business,1,0,5,July,Car,Drawing,EN
232,Robert Nunez IV,Female,26,Countryside,Warm,Low,Leisure,4,0,8,July,Ferry,Drawing,EN
233,Michelle Fisher,Male,53,Ski Resort,Cold,Low,Business,2,0,10,August,Ferry,Gaming,EN
234,Kristina Johnson,Male,61,Ski Resort,Warm,High,Business,5,1,1,June,Car,Drawing,ZH
235,Jason Delacruz,Male,49,Countryside,Cold,Medium,Leisure,3,0,6,July,Bus,Photography,FR
236,Joe Mckay,Female,41,Island,Cold,High,Business,1,0,4,August,Car,Gaming,FR
237,Justin Steele,Male,20,City,Hot,Low,Business,5,0,13,July,Ferry,Climbing,ZH
238,Andrew Flores,Male,62,Photography Expedition,Hot,Low,Business,5,0,7,July,Bus,Photography,ZH
239,Scott Cline,Female,58,Spa Retreat,Warm,High,Leisure,5,0,5,June,Train,Gaming,FR
240,Charles Hamilton,Male,43,Photography Expedition,Warm,Low,Leisure,4,0,7,June,Car,Photography,FR
241,Kevin Clark,Male,22,City,Hot,High,Business,5,0,2,August,Train,Drawing,EN
242,Rhonda Alvarez,Male,56,Spa Retreat,Cold,Medium,Business,3,1,10,August,Airplane,Climbing,EN
243,Kevin Miller,Male,61,Photography Expedition,Cold,High,Business,4,1,1,August,Car,Gaming,EN
244,Sally Robles,Female,32,Mountain,Warm,Medium,Leisure,4,1,2,August,Car,Gaming,EN
245,Christopher Jackson,Male,57,Mountain,Hot,Medium,Business,1,0,4,July,Car,Photography,EN
246,Loretta Taylor,Male,40,Lake,Cold,High,Leisure,1,0,1,June,Airplane,Climbing,FR
247,Jared Frye,Male,48,Winery,Cold,Low,Leisure,4,0,2,June,Car,Climbing,ZH
248,Nicole Waters,Female,30,Mountain,Hot,High,Business,4,1,9,June,Ferry,Climbing,ZH
249,William Woods,Male,47,Village,Cold,Medium,Leisure,2,0,5,July,Airplane,Climbing,ZH
250,Lisa Sampson,Male,36,Island,Hot,Medium,Leisure,5,0,4,July,Train,Gaming,FR
251,Ralph Mcneil,Female,36,Village,Cold,Low,Leisure,3,1,3,August,Airplane,Photography,EN
252,Kenneth Alvarado,Male,19,Spa Retreat,Hot,High,Leisure,1,1,6,July,Bus,Drawing,ZH
253,Miss Heather Simon MD,Female,49,Island,Warm,High,Business,2,1,3,June,Airplane,Climbing,EN
254,Elizabeth Rodgers,Female,26,Ski Resort,Warm,Medium,Leisure,2,0,13,June,Ferry,Photography,FR
255,James Green,Male,58,Island,Warm,Low,Leisure,5,0,2,June,Bus,Climbing,ZH
256,Daniel Wood,Female,39,Mountain,Cold,Medium,Leisure,3,0,14,July,Train,Climbing,EN
257,Jennifer Davis,Female,58,Island,Hot,Low,Business,2,1,10,July,Airplane,Drawing,FR
258,Maria Wilkerson,Female,37,City,Warm,Medium,Business,3,0,7,August,Airplane,Drawing,ZH
259,Suzanne Wilson,Female,22,Lake,Cold,Medium,Leisure,5,0,11,July,Ferry,Climbing,FR
260,Andrea Fox,Female,32,City,Warm,Low,Business,4,1,14,July,Bus,Climbing,FR
261,Meghan Waters,Male,48,Photography Expedition,Warm,Medium,Leisure,3,1,9,July,Train,Photography,ZH
262,Mr. Joseph Myers,Female,31,Winery,Hot,High,Leisure,3,0,14,June,Train,Gaming,EN
263,Joshua Collins,Male,18,Mountain,Hot,Medium,Leisure,4,1,9,August,Car,Photography,FR
264,Melissa Carr,Male,36,Countryside,Warm,Medium,Business,4,0,9,August,Airplane,Photography,EN
265,Rebecca George,Male,53,Ski Resort,Warm,High,Leisure,5,1,11,August,Ferry,Drawing,ZH
266,Derek Martin,Female,29,Ski Resort,Hot,Medium,Leisure,1,1,9,July,Airplane,Photography,ZH
267,Jason Black,Male,39,City,Warm,High,Leisure,5,1,13,July,Airplane,Climbing,FR
268,Tyler Delacruz,Female,24,Countryside,Hot,High,Leisure,5,0,5,June,Ferry,Drawing,FR
