,Name,Gender,Age,Destination_Category,Temperature,Budget,Purpose,Num_of_People,Families,Duration,Travel Months,Transportation,Hobby,Language
28,Devon Parks,Male,54,Countryside,Cold,High,Leisure,1,1,5,October,Airplane,Culinary,FR
29,Charles Chambers,Female,39,Ski Resort,Warm,Medium,Business,2,0,1,September,Airplane,Physical Sports,FR
30,Leslie Saunders,Female,27,Island,Warm,High,Leisure,5,1,9,November,Airplane,Outdoor Exploration,ZH
31,Anne Adams,Female,51,Mountain,Cold,High,Business,1,1,8,September,Airplane,Outdoor Exploration,EN
32,Mariah Mccormick,Female,28,Ski Resort,Warm,High,Business,1,0,8,September,Bus,Physical Sports,EN
33,Penny Gomez,Male,30,Lake,Hot,Low,Business,1,1,2,November,Airplane,Outdoor Exploration,EN
34,Amanda Walker MD,Female,59,Island,Warm,Low,Business,1,0,3,November,Car,Culinary,EN
35,Thomas James,Male,19,Spa Retreat,Cold,High,Business,1,0,8,October,Train,Outdoor Exploration,EN
36,Jennifer Goodwin,Male,50,Countryside,Hot,Medium,Leisure,1,1,1,September,Airplane,Culinary,FR
37,Amanda Miller,Male,46,Photography Expedition,Hot,High,Leisure,1,0,6,October,Ferry,Physical Sports,EN
38,Vicki Lopez,Male,20,Mountain,Warm,High,Leisure,2,0,9,September,Train,Outdoor Exploration,ZH
39,Joseph Henson,Female,47,Lake,Warm,High,Leisure,3,0,8,September,Car,Creative Arts,FR
40,Christopher Sanchez,Female,58,Mountain,Warm,Low,Business,5,1,13,November,Car,Outdoor Exploration,EN
41,Luis Carter,Male,59,Spa Retreat,Warm,High,Leisure,4,1,14,November,Ferry,Creative Arts,EN
42,Ryan Flores,Female,22,Island,Hot,Medium,Business,5,1,8,November,Car,Intellectual Pursuits,EN
43,Philip Garcia,Male,51,Mountain,Cold,Medium,Business,3,1,7,November,Bus,Culinary,ZH
44,Savannah David,Female,26,Island,Warm,Low,Leisure,2,0,8,October,Car,Culinary,EN
45,Kimberly Rogers,Male,33,Lake,Warm,High,Leisure,4,0,3,November,Airplane,Physical Sports,EN
46,Jessica Manning,Female,20,Lake,Warm,High,Business,2,1,14,November,Bus,Outdoor Exploration,ZH
47,Jacqueline Nichols,Male,64,Countryside,Hot,Medium,Business,3,1,3,November,Car,Culinary,EN
48,Andrew Brown,Male,21,Mountain,Hot,Low,Business,1,0,7,October,Bus,Creative Arts,FR
49,Jose Pratt,Female,41,Spa Retreat,Cold,Medium,Business,1,0,7,November,Bus,Outdoor Exploration,EN
50,Thomas Gomez,Male,44,Ski Resort,Hot,High,Leisure,1,1,7,November,Train,Culinary,FR
51,Tyler Rodriguez,Male,54,Ski Resort,Hot,High,Business,1,0,14,September,Airplane,Intellectual Pursuits,ZH
52,Raymond Gonzalez,Female,59,Lake,Hot,Low,Leisure,5,0,5,September,Car,Outdoor Exploration,ZH
53,Jessica Dixon,Male,49,Spa Retreat,Warm,Low,Business,5,1,11,September,Ferry,Physical Sports,EN
54,Julia Morrison,Male,56,Island,Cold,High,Leisure,4,0,12,October,Ferry,Physical Sports,FR
55,Alexandra James,Female,48,Photography Expedition,Warm,Medium,Business,1,0,8,September,Airplane,Outdoor Exploration,FR
56,Brian Lopez,Female,24,Mountain,Warm,Low,Leisure,3,0,8,November,Train,Culinary,EN
57,Jacqueline Thompson,Male,27,Mountain,Cold,High,Business,5,0,14,September,Train,Intellectual Pursuits,FR
58,Denise Adams,Male,26,Mountain,Hot,Low,Business,4,1,4,October,Train,Physical Sports,EN
59,Jennifer Williams,Female,37,Countryside,Warm,Medium,Leisure,4,0,1,September,Train,Intellectual Pursuits,EN
60,Leslie Saunders,Male,61,Island,Warm,Medium,Business,4,0,6,September,Car,Culinary,FR
61,Sharon Nichols,Female,33,Lake,Cold,High,Business,3,0,12,September,Train,Creative Arts,FR
62,Mr. Douglas Adkins,Female,63,Winery,Hot,High,Business,2,0,12,September,Train,Culinary,EN
63,Robert Reed,Female,51,City,Hot,High,Leisure,1,0,14,September,Car,Outdoor Exploration,FR
64,Rebecca Boyd,Female,46,City,Cold,High,Business,5,1,1,September,Bus,Culinary,FR
65,Jesse Johnson,Male,41,Spa Retreat,Hot,Low,Leisure,5,1,11,November,Ferry,Physical Sports,FR
66,Dawn Porter,Male,19,Spa Retreat,Hot,Low,Business,1,1,6,September,Car,Outdoor Exploration,ZH
67,Olivia Bowers,Male,46,Countryside,Cold,Low,Leisure,3,0,11,September,Car,Culinary,EN
68,Christopher King,Male,52,Spa Retreat,Cold,Low,Leisure,5,0,10,September,Car,Outdoor Exploration,ZH
69,Robert Brock,Male,35,Ski Resort,Hot,High,Leisure,5,1,4,November,Car,Creative Arts,ZH
70,Curtis Hayes,Female,56,Spa Retreat,Cold,Low,Business,2,0,5,September,Car,Intellectual Pursuits,EN
71,Brandon Johnson,Male,44,Lake,Warm,Low,Leisure,4,0,2,November,Bus,Culinary,EN
72,Mackenzie Wolfe,Female,33,Island,Hot,Low,Leisure,2,1,8,November,Train,Physical Sports,ZH
73,Kathy Salas,Male,48,Ski Resort,Cold,High,Leisure,2,0,6,October,Ferry,Intellectual Pursuits,EN
74,James Ferguson,Female,36,Photography Expedition,Cold,High,Leisure,2,0,12,November,Car,Outdoor Exploration,FR
75,James Allen,Male,39,Lake,Warm,Low,Leisure,2,1,4,November,Ferry,Outdoor Exploration,ZH
76,April Duncan,Female,29,Lake,Cold,Medium,Business,4,1,2,November,Train,Culinary,ZH
77,Joseph Lopez,Female,57,Lake,Cold,Low,Leisure,5,1,2,September,Car,Physical Sports,EN
78,Stephanie Duran,Male,43,Photography Expedition,Hot,Low,Business,3,0,2,November,Train,Culinary,FR
79,Michael Taylor,Female,57,Mountain,Cold,Medium,Business,3,0,4,October,Airplane,Physical Sports,FR
80,Juan Little,Male,57,Photography Expedition,Warm,High,Leisure,4,1,4,November,Bus,Outdoor Exploration,EN
81,Margaret Hale,Male,39,Countryside,Hot,Medium,Leisure,1,0,10,October,Car,Outdoor Exploration,EN
82,Paige Smith,Male,40,Lake,Warm,Low,Business,2,1,14,September,Ferry,Outdoor Exploration,FR
83,Roger Mitchell,Female,35,Island,Cold,Medium,Leisure,3,0,3,October,Bus,Creative Arts,EN
84,Lisa Haas,Male,40,Ski Resort,Warm,High,Leisure,1,1,3,September,Ferry,Culinary,FR
85,Jose Ramirez,Female,43,Spa Retreat,Warm,Medium,Leisure,3,1,13,October,Car,Creative Arts,FR
86,Michelle Brennan,Female,53,Mountain,Hot,High,Business,5,0,8,November,Ferry,Physical Sports,EN
87,Maria Hall,Female,52,Winery,Hot,Low,Leisure,2,0,5,November,Airplane,Culinary,EN
88,Lisa Turner,Male,38,Lake,Warm,Medium,Leisure,3,0,3,November,Car,Physical Sports,FR
89,Rebecca Roberts,Male,34,Island,Warm,Low,Business,5,1,7,October,Airplane,Physical Sports,FR
90,Michael Montgomery,Female,52,Lake,Warm,High,Business,3,0,1,September,Airplane,Outdoor Exploration,FR
91,Mary Harris,Female,43,Countryside,Cold,Low,Business,2,0,1,October,Train,Culinary,ZH
92,Shane Cole,Female,32,Mountain,Cold,Low,Leisure,5,0,9,November,Car,Creative Arts,ZH
93,Christine Mercado,Male,57,Countryside,Hot,Medium,Leisure,1,1,2,September,Train,Outdoor Exploration,EN
94,Kristin Hernandez,Male,62,Island,Warm,Low,Business,1,0,5,October,Car,Physical Sports,FR
95,Rebecca Smith,Female,28,Mountain,Hot,Medium,Leisure,1,1,1,September,Train,Creative Arts,ZH
96,Allison Nelson,Female,48,Spa Retreat,Cold,Medium,Leisure,4,1,4,November,Ferry,Intellectual Pursuits,FR
97,Becky Russell,Female,40,Winery,Hot,High,Business,5,0,3,November,Car,Physical Sports,EN
98,Rebecca Smith,Male,29,City,Hot,Low,Leisure,5,1,11,November,Ferry,Outdoor Exploration,FR
99,David Perez,Female,22,Village,Warm,Medium,Leisure,3,1,8,November,Car,Outdoor Exploration,EN
100,Adam Estes,Male,20,Photography Expedition,Hot,Medium,Business,3,0,4,November,Car,Physical Sports,EN
101,Johnny Wilkerson,Male,48,Photography Expedition,Hot,Low,Business,1,1,9,November,Train,Physical Sports,EN
102,John Carter,Female,21,Spa Retreat,Cold,Low,Business,2,1,11,November,Ferry,Physical Sports,FR
103,Cody Marshall,Male,21,Village,Hot,Low,Leisure,2,0,11,October,Airplane,Physical Sports,ZH
104,Sharon Hanson,Male,44,Mountain,Warm,Low,Business,1,0,5,November,Car,Culinary,FR
105,Michelle Acosta,Female,22,Village,Cold,Low,Leisure,1,1,8,November,Bus,Creative Arts,FR
106,Morgan May,Female,60,Mountain,Cold,High,Business,3,1,14,November,Bus,Culinary,EN
107,Jill Brown,Male,24,Countryside,Hot,High,Leisure,2,1,9,September,Ferry,Physical Sports,ZH
108,Dawn Butler,Male,29,Spa Retreat,Warm,Low,Leisure,3,1,9,November,Train,Physical Sports,FR
109,Jessica Odom,Female,56,Spa Retreat,Cold,High,Leisure,5,0,2,September,Airplane,Culinary,EN
110,Nicholas Garcia,Male,45,Island,Hot,High,Leisure,3,0,11,September,Ferry,Intellectual Pursuits,EN
111,Jacqueline Jenkins,Male,31,City,Warm,Medium,Leisure,5,0,13,September,Train,Physical Sports,EN
112,Larry Maldonado,Male,64,Lake,Hot,Medium,Business,3,0,12,November,Train,Outdoor Exploration,ZH
113,Becky Russell,Female,39,Countryside,Warm,Medium,Business,5,1,3,September,Train,Intellectual Pursuits,ZH
114,Stacy Leonard,Male,32,Photography Expedition,Hot,Low,Business,1,0,4,October,Airplane,Creative Arts,ZH
115,James Jones,Female,40,Winery,Hot,Medium,Business,2,1,12,October,Ferry,Culinary,FR
116,Kimberly Dunn,Male,36,Photography Expedition,Cold,Low,Leisure,1,1,7,October,Airplane,Culinary,ZH
117,Jessica Bauer,Male,26,Island,Hot,Low,Business,5,0,4,September,Bus,Intellectual Pursuits,FR
118,Brianna Simpson,Female,18,Lake,Hot,High,Business,4,1,14,September,Airplane,Physical Sports,EN
119,Diane Lopez,Male,40,Spa Retreat,Warm,High,Business,2,1,9,October,Airplane,Creative Arts,ZH
120,Nicole Harrell,Female,51,Lake,Cold,Low,Business,2,0,6,September,Car,Outdoor Exploration,FR
121,Wendy Walker,Male,20,Village,Hot,Medium,Business,5,0,12,September,Airplane,Outdoor Exploration,ZH
122,Michael Lewis,Male,61,Mountain,Cold,High,Business,3,1,12,September,Ferry,Creative Arts,FR
123,Ryan Nelson,Male,55,Photography Expedition,Warm,High,Business,3,0,6,October,Bus,Physical Sports,ZH
124,Zachary Bailey,Female,27,Winery,Cold,Low,Business,1,1,13,November,Train,Creative Arts,EN
125,Brendan Harding,Female,63,Winery,Cold,Medium,Business,5,1,13,November,Ferry,Creative Arts,ZH
126,Lori Martin,Female,48,Lake,Hot,Low,Leisure,3,1,14,September,Car,Physical Sports,ZH
127,Nicholas Keith,Female,46,Mountain,Hot,High,Leisure,2,0,9,October,Ferry,Intellectual Pursuits,EN
128,Jesse Hall,Male,57,Village,Hot,Medium,Leisure,4,0,12,November,Car,Culinary,ZH
129,Melanie Holt,Female,50,Lake,Warm,Low,Leisure,5,1,4,November,Bus,Culinary,FR
130,Karen Davenport,Male,33,Photography Expedition,Hot,High,Leisure,1,0,14,September,Train,Creative Arts,EN
131,Lee Larsen,Male,39,Photography Expedition,Warm,High,Leisure,5,1,8,September,Ferry,Physical Sports,EN
132,Steven Mckee,Male,37,Winery,Hot,High,Business,2,1,5,November,Airplane,Intellectual Pursuits,EN
133,Tracy Daniels,Female,50,Photography Expedition,Hot,Medium,Leisure,2,0,14,September,Bus,Outdoor Exploration,EN
134,Kiara Campbell,Female,61,Lake,Hot,Medium,Business,3,1,6,September,Airplane,Intellectual Pursuits,ZH
135,Victoria Carter,Female,54,Village,Warm,Medium,Leisure,1,0,2,October,Car,Outdoor Exploration,ZH
136,Elizabeth Long,Male,63,City,Cold,Medium,Business,3,0,7,October,Car,Intellectual Pursuits,EN
137,Michael Cain MD,Female,45,Countryside,Warm,Low,Business,3,0,1,November,Car,Culinary,FR
138,Leslie Holt,Female,61,Countryside,Hot,High,Leisure,4,0,6,September,Train,Culinary,FR
139,Tracy Lee,Male,24,Village,Warm,Low,Leisure,4,0,12,September,Bus,Outdoor Exploration,FR
140,Anna Johnson,Male,20,Lake,Cold,Medium,Business,4,0,12,October,Airplane,Physical Sports,EN
141,Dustin Nelson,Male,56,Winery,Cold,Medium,Business,3,1,14,September,Bus,Physical Sports,ZH
142,Julie Johnson,Male,47,City,Hot,High,Business,1,1,11,September,Train,Creative Arts,EN
143,Samuel Reyes,Female,39,Mountain,Warm,High,Business,1,1,5,September,Ferry,Creative Arts,ZH
144,Michael Morton,Male,25,Lake,Cold,High,Business,2,0,4,September,Train,Intellectual Pursuits,EN
145,Ronald Nunez,Female,42,Spa Retreat,Cold,Low,Business,2,0,12,October,Airplane,Intellectual Pursuits,FR
146,Corey Adams,Male,35,Ski Resort,Cold,Medium,Leisure,3,0,13,November,Ferry,Culinary,FR
147,Ashley Schroeder,Female,38,Lake,Cold,Medium,Leisure,1,1,9,October,Train,Physical Sports,FR
148,Tina Lane,Female,22,Winery,Warm,Medium,Leisure,2,0,11,October,Ferry,Outdoor Exploration,EN
149,Austin Mason,Female,53,Spa Retreat,Warm,Low,Business,5,0,14,October,Ferry,Physical Sports,ZH
150,Thomas Reed,Female,36,City,Cold,Low,Business,2,1,11,October,Ferry,Outdoor Exploration,FR
151,Brittany Lopez,Female,29,City,Cold,Medium,Leisure,2,0,6,September,Train,Intellectual Pursuits,EN
152,Lisa Jones,Male,32,Photography Expedition,Cold,High,Business,5,1,4,September,Airplane,Outdoor Exploration,ZH
153,Erica Alvarez,Female,47,Ski Resort,Warm,Low,Leisure,5,0,3,September,Car,Creative Arts,FR
154,Jesse Reynolds,Male,59,Ski Resort,Warm,High,Leisure,3,1,6,October,Car,Creative Arts,ZH
155,Amanda Anderson,Male,50,Winery,Warm,Medium,Leisure,4,0,2,September,Ferry,Culinary,ZH
156,Mr. Adam Mcmahon,Male,31,Island,Hot,Medium,Leisure,1,0,1,October,Train,Outdoor Exploration,ZH
157,Michelle Webster,Male,46,City,Hot,High,Leisure,4,0,14,September,Ferry,Culinary,FR
158,Anthony Delgado,Female,22,Island,Warm,High,Business,1,0,1,September,Airplane,Intellectual Pursuits,ZH
159,Cody Sexton,Female,18,Mountain,Cold,Medium,Business,4,0,13,October,Train,Creative Arts,FR
160,Stacy Rhodes,Male,42,Ski Resort,Cold,Low,Leisure,1,1,13,November,Car,Creative Arts,FR
161,Amy Nunez,Female,37,Ski Resort,Warm,Low,Leisure,2,1,12,October,Car,Intellectual Pursuits,EN
162,Robin Thomas,Male,54,Village,Warm,Medium,Business,3,1,7,September,Train,Outdoor Exploration,FR
163,Linda Haynes,Female,60,Countryside,Hot,High,Business,5,0,7,November,Train,Outdoor Exploration,ZH
164,Kathy Pugh,Female,56,Village,Warm,Medium,Leisure,2,0,13,November,Ferry,Creative Arts,FR
165,Bradley Crane,Male,30,Spa Retreat,Warm,High,Business,3,0,13,November,Train,Creative Arts,ZH
166,Alyssa Dixon,Female,22,Ski Resort,Warm,Medium,Leisure,2,1,12,September,Bus,Creative Arts,FR
167,Stephanie Ramirez,Female,38,Winery,Hot,Medium,Leisure,5,1,13,September,Airplane,Culinary,ZH
168,Jason Atkinson,Female,64,Mountain,Cold,Medium,Leisure,5,1,3,November,Airplane,Outdoor Exploration,ZH
169,Laura Williams,Male,48,Island,Hot,Low,Business,1,0,2,October,Train,Intellectual Pursuits,FR
170,Donald Davis,Male,40,City,Hot,Low,Leisure,4,0,4,October,Airplane,Intellectual Pursuits,ZH
171,Jeffrey Anderson,Female,35,Lake,Cold,High,Business,4,0,13,October,Train,Creative Arts,EN
172,John Lopez,Female,22,Village,Cold,Medium,Leisure,5,1,9,September,Car,Outdoor Exploration,ZH
173,Larry Mullins,Male,44,City,Hot,High,Business,5,0,3,November,Ferry,Creative Arts,ZH
174,Ricky Payne,Male,41,Winery,Warm,Low,Business,3,0,13,October,Bus,Culinary,ZH
175,Thomas White,Male,57,Countryside,Warm,Medium,Business,5,0,9,September,Car,Culinary,ZH
176,Cynthia Watson,Male,58,Photography Expedition,Cold,Medium,Leisure,5,0,13,November,Airplane,Outdoor Exploration,FR
177,Vanessa Campbell,Female,18,Ski Resort,Hot,Low,Business,5,1,14,November,Car,Intellectual Pursuits,ZH
178,Rachel Baldwin,Female,52,Ski Resort,Hot,Low,Business,5,0,11,November,Airplane,Creative Arts,ZH
179,Brittney Ball,Female,54,Mountain,Warm,Medium,Business,3,1,7,October,Airplane,Outdoor Exploration,FR
180,Katie Ramos,Male,38,Island,Cold,High,Business,1,1,6,November,Car,Physical Sports,EN
181,Carl Park,Female,31,Countryside,Hot,High,Leisure,4,1,3,November,Bus,Physical Sports,EN
182,Cody Lewis,Female,53,Winery,Warm,Low,Business,5,0,10,October,Train,Creative Arts,EN
183,Tyler Martinez,Male,19,Island,Cold,Medium,Leisure,5,0,3,October,Car,Intellectual Pursuits,EN
184,Juan Rodriguez,Male,53,Lake,Hot,Low,Business,4,1,11,October,Ferry,Creative Arts,ZH
185,Kevin Mckinney,Male,45,Spa Retreat,Hot,Low,Business,3,0,3,September,Car,Physical Sports,ZH
186,Randall Williams,Female,44,Island,Cold,Low,Leisure,4,0,3,October,Airplane,Physical Sports,ZH
187,Denise Alvarez,Female,28,Ski Resort,Cold,Low,Business,1,1,13,November,Train,Creative Arts,FR
188,Timothy Gibbs,Female,21,City,Warm,High,Business,1,0,10,November,Bus,Creative Arts,ZH
189,Richard Mcdonald,Male,61,Lake,Hot,High,Business,2,1,11,November,Bus,Outdoor Exploration,FR
190,Mr. Glen Martin,Male,38,Photography Expedition,Hot,High,Leisure,2,1,3,November,Bus,Creative Arts,EN
191,Jared Smith,Male,52,Countryside,Warm,Medium,Business,5,1,7,September,Train,Physical Sports,EN
192,Thomas Jackson,Male,50,Lake,Hot,High,Business,4,1,9,September,Airplane,Outdoor Exploration,FR
193,Mr. David Summers,Male,63,Winery,Hot,High,Business,5,1,4,September,Bus,Physical Sports,FR
194,Dr. Timothy Travis Jr.,Male,43,Mountain,Warm,Medium,Business,3,0,12,September,Ferry,Outdoor Exploration,FR
195,Edwin Hanson,Female,32,Photography Expedition,Hot,Medium,Business,3,1,3,November,Airplane,Physical Sports,FR
196,Edward Johnson,Male,37,Mountain,Warm,Medium,Leisure,2,0,3,November,Bus,Intellectual Pursuits,EN
197,Angela Mcfarland,Female,34,City,Cold,Low,Leisure,4,1,13,October,Train,Physical Sports,ZH
198,Katelyn Porter,Female,59,Mountain,Cold,Low,Leisure,4,1,11,October,Train,Culinary,ZH
199,Krista Dennis,Female,34,City,Warm,Medium,Leisure,3,0,13,November,Bus,Physical Sports,FR
200,Hannah Johnson,Male,25,Spa Retreat,Warm,Medium,Leisure,5,0,2,October,Car,Creative Arts,FR
201,Jacob Moreno,Female,28,Spa Retreat,Cold,Medium,Business,3,0,10,November,Airplane,Culinary,ZH
202,Nancy Chavez,Female,55,Island,Hot,High,Business,1,1,11,November,Bus,Physical Sports,FR
203,Linda Peterson,Male,24,Spa Retreat,Hot,Low,Leisure,3,0,1,November,Airplane,Outdoor Exploration,ZH
204,Benjamin Pace,Female,32,Countryside,Warm,High,Leisure,3,1,4,September,Car,Outdoor Exploration,EN
205,Andrea Cooke MD,Female,25,Island,Warm,Medium,Business,3,0,5,September,Bus,Intellectual Pursuits,EN
206,Martha Jones,Male,29,Winery,Hot,Low,Leisure,1,0,5,November,Car,Intellectual Pursuits,EN
207,Carrie Munoz,Female,31,Village,Warm,High,Leisure,3,0,4,October,Airplane,Physical Sports,ZH
208,Gary Hudson,Male,52,City,Warm,High,Business,3,0,4,November,Ferry,Intellectual Pursuits,FR
209,Sheryl Beck,Male,38,Ski Resort,Warm,High,Leisure,4,0,2,October,Airplane,Culinary,ZH
210,Tamara Turner,Male,62,Spa Retreat,Warm,High,Business,1,1,9,September,Train,Intellectual Pursuits,EN
211,Andrew Howard,Male,43,Island,Hot,High,Leisure,5,1,10,September,Ferry,Creative Arts,ZH
212,Megan Hubbard,Male,59,Mountain,Hot,Medium,Business,2,1,14,September,Car,Intellectual Pursuits,FR
213,Gregory Burton,Female,58,Winery,Hot,Medium,Business,2,1,8,November,Bus,Physical Sports,EN
214,Mario Wilson,Male,44,Lake,Hot,Medium,Business,2,0,12,October,Train,Intellectual Pursuits,ZH
215,Michael Deleon,Male,22,Village,Hot,High,Business,3,0,9,November,Airplane,Physical Sports,EN
216,Bradley Myers,Female,25,Lake,Hot,Low,Leisure,5,0,4,November,Bus,Culinary,FR
217,Joseph Shelton,Female,50,Countryside,Hot,Low,Leisure,1,0,2,September,Car,Culinary,ZH
218,Lindsey Warren,Male,30,Island,Hot,Medium,Leisure,4,0,9,September,Car,Culinary,EN
219,Valerie Roth,Female,43,Village,Warm,Medium,Business,4,1,7,September,Ferry,Intellectual Pursuits,EN
220,Rebecca Carroll,Male,38,City,Warm,High,Leisure,1,1,12,October,Ferry,Intellectual Pursuits,ZH
221,Taylor Taylor,Female,51,Photography Expedition,Warm,Low,Business,3,1,9,October,Car,Intellectual Pursuits,EN
222,Jodi King,Female,18,Spa Retreat,Hot,Low,Business,2,0,11,November,Ferry,Outdoor Exploration,FR
223,Kyle Casey,Female,41,Mountain,Hot,High,Leisure,5,0,3,November,Bus,Intellectual Pursuits,EN
224,Nicholas Ayala,Female,34,Winery,Cold,Low,Business,3,1,11,October,Bus,Culinary,EN
225,Ryan Williams,Male,54,Countryside,Warm,High,Leisure,3,1,2,September,Car,Culinary,EN
226,Robert Robertson,Female,37,Spa Retreat,Warm,Medium,Leisure,4,1,13,October,Airplane,Intellectual Pursuits,ZH
227,Christine Chen,Male,38,Spa Retreat,Hot,Medium,Business,4,0,3,November,Bus,Culinary,FR
228,Darrell Morris,Male,41,Countryside,Hot,Low,Business,5,1,9,September,Ferry,Creative Arts,ZH
229,James Gonzalez,Male,22,City,Warm,High,Business,1,1,12,October,Ferry,Outdoor Exploration,FR
230,Robin Tapia,Male,30,Mountain,Hot,Low,Leisure,5,1,8,November,Train,Creative Arts,FR
231,Debbie Webb,Male,37,Photography Expedition,Cold,High,Business,3,1,1,October,Ferry,Culinary,ZH
232,Oscar Howard,Female,26,Lake,Cold,Medium,Leisure,5,1,13,September,Train,Intellectual Pursuits,ZH
233,Ashley Duran,Male,47,Lake,Warm,Low,Leisure,2,0,10,November,Ferry,Culinary,EN
234,Kimberly Bailey,Female,24,City,Hot,High,Business,2,0,5,October,Ferry,Creative Arts,EN
235,Kevin Kelly,Female,40,Spa Retreat,Cold,Low,Business,4,0,14,November,Airplane,Culinary,EN
236,Joshua Andrade,Male,32,Mountain,Cold,Low,Leisure,3,1,10,October,Airplane,Culinary,EN
237,Matthew Robertson,Male,44,Village,Warm,Medium,Leisure,2,0,1,September,Bus,Outdoor Exploration,ZH
238,Michael Friedman,Male,59,Mountain,Hot,Medium,Leisure,3,1,6,September,Car,Culinary,FR
239,Michael Friedman,Male,51,Photography Expedition,Hot,High,Business,3,1,13,September,Airplane,Culinary,EN
240,Jason Pope,Female,43,Photography Expedition,Hot,High,Business,4,0,11,October,Car,Intellectual Pursuits,ZH
241,Jack Martin,Female,47,Mountain,Cold,High,Leisure,3,0,4,November,Bus,Creative Arts,FR
242,John Hughes,Male,54,Spa Retreat,Hot,Low,Leisure,3,1,11,September,Ferry,Culinary,FR
243,Lauren Winters,Female,58,City,Warm,High,Business,5,1,1,November,Train,Creative Arts,ZH
244,Wanda Howard,Female,49,Spa Retreat,Cold,Low,Leisure,4,1,2,November,Airplane,Creative Arts,ZH
245,Justin Long,Female,24,Lake,Cold,Low,Leisure,4,0,6,November,Bus,Intellectual Pursuits,FR
246,Kelly Guerrero,Male,45,City,Cold,Medium,Business,4,1,13,September,Ferry,Culinary,FR
247,Alexander Contreras,Female,33,Countryside,Cold,High,Business,1,0,4,September,Car,Culinary,EN
248,Scott Smith,Male,26,Photography Expedition,Cold,Medium,Leisure,5,1,1,September,Train,Outdoor Exploration,ZH
249,Daniel Odom,Female,52,Lake,Cold,Low,Leisure,1,0,6,November,Ferry,Intellectual Pursuits,EN
250,Allison Brown,Female,63,Island,Hot,Low,Business,1,0,6,September,Train,Physical Sports,FR
251,Jonathan Cook,Female,56,City,Warm,High,Leisure,3,1,4,October,Airplane,Intellectual Pursuits,ZH
252,Timothy Davis,Female,52,Island,Cold,Medium,Business,4,0,8,November,Airplane,Outdoor Exploration,FR
253,Donna Howell,Female,41,City,Hot,Medium,Leisure,3,0,14,September,Airplane,Creative Arts,ZH
