,Name,Gender,Age,Destination_Category,Temperature,Budget,Purpose,Num_of_People,Families,Duration,Travel Months,Transportation
40,Blake Gates,Female,39,Ski Resort,Cold,Low,Business,3,0,9,June,Ferry
41,Laura Fox,Female,42,Ski Resort,Warm,Low,Leisure,2,1,5,July,Car
42,Marcus Robles,Male,39,Island,Hot,High,Business,2,1,12,July,Airplane
43,Mr. Edward Harrington,Female,64,Photography Expedition,Warm,Medium,Business,3,1,13,June,Train
44,Danielle Whitehead,Male,57,Countryside,Warm,High,Business,3,1,13,August,Airplane
45,Cindy Stephens,Male,54,Lake,Warm,Low,Business,5,0,6,June,Car
46,Barbara Morgan,Female,62,Countryside,Cold,Low,Business,3,1,5,June,Ferry
47,Margaret English,Male,60,Countryside,Hot,High,Leisure,5,0,2,July,Ferry
48,Susan Harris,Female,52,Ski Resort,Cold,Medium,Leisure,2,0,12,July,Train
49,Barbara Torres,Female,55,Mountain,Hot,Low,Business,1,1,14,June,Car
50,William Wilson,Female,61,Winery,Warm,High,Business,5,1,13,June,Car
51,Brandi Brown,Female,42,Countryside,Cold,Low,Leisure,2,0,9,July,Airplane
52,Katie Hayden,Female,21,Spa Retreat,Cold,High,Leisure,4,1,13,August,Bus
53,Ashley Baker,Male,32,Mountain,Hot,Low,Business,3,1,11,August,Airplane
54,Courtney Bishop,Female,62,Mountain,Cold,Low,Business,3,1,8,August,Car
55,Vincent Martin,Female,64,Spa Retreat,Cold,Low,Business,4,0,8,June,Ferry
56,David Doyle,Female,21,Countryside,Hot,Low,Business,5,1,6,August,Car
57,Taylor Jennings,Male,32,Mountain,Cold,High,Business,2,0,12,July,Bus
58,Sarah Harrison,Male,34,Photography Expedition,Warm,High,Leisure,2,0,7,June,Airplane
59,Brittany Gordon,Male,23,Mountain,Hot,High,Business,5,1,7,June,Bus
60,Jennifer Braun,Male,41,Photography Expedition,Warm,High,Leisure,4,0,9,June,Train
61,Ryan Phillips,Female,49,Island,Cold,Medium,Leisure,2,1,13,August,Car
62,Leah Griffin,Male,52,Island,Hot,High,Leisure,1,1,14,July,Ferry
63,Katie Patel,Male,39,City,Hot,High,Leisure,2,1,5,June,Ferry
64,Michael Kelly,Male,46,Island,Warm,Medium,Leisure,2,0,1,June,Train
65,Brandi Eaton,Female,33,Countryside,Hot,Low,Business,1,1,10,July,Airplane
66,Phillip Ramsey,Male,43,Lake,Hot,Medium,Leisure,4,0,8,July,Airplane
67,Dawn Molina,Female,31,Spa Retreat,Warm,Medium,Leisure,4,1,4,July,Train
68,John Green DVM,Female,24,City,Cold,Medium,Leisure,5,1,9,August,Car
69,David Watson,Female,26,Ski Resort,Cold,High,Business,4,0,12,July,Airplane
70,Katie Patel,Male,53,Photography Expedition,Warm,High,Business,5,1,8,July,Ferry
71,Brett Moran,Female,21,Photography Expedition,Hot,Low,Leisure,1,0,13,August,Train
72,Regina Morgan,Female,23,Spa Retreat,Cold,High,Business,1,0,12,June,Bus
73,Brian Black,Female,23,Winery,Hot,Medium,Leisure,2,1,4,August,Train
74,Amanda Velazquez,Female,45,Spa Retreat,Cold,High,Leisure,5,0,4,July,Train
75,Patricia Suarez,Female,42,City,Hot,Low,Business,3,1,3,August,Ferry
76,Pamela Wall,Male,50,Lake,Hot,Medium,Business,1,1,5,June,Train
77,Mark Craig,Female,59,Lake,Hot,High,Leisure,3,1,4,June,Airplane
78,Crystal Nicholson,Female,45,Village,Cold,Low,Leisure,2,1,3,June,Train
79,Timothy Jackson,Female,59,Winery,Cold,Low,Leisure,3,0,7,June,Ferry
80,Kristen Miller,Female,29,Lake,Warm,High,Business,5,1,6,June,Train
81,Mark Austin,Male,33,Island,Warm,Low,Business,2,1,10,August,Bus
82,Adam Mclean,Male,21,Island,Cold,Low,Leisure,4,1,13,July,Airplane
83,Natalie Miller,Female,37,Village,Warm,Medium,Leisure,2,1,1,June,Train
84,Christopher Morse,Female,33,Photography Expedition,Cold,High,Business,3,0,7,August,Ferry
85,Kimberly Roy,Male,42,Ski Resort,Warm,Low,Business,1,1,4,July,Train
86,Timothy Thomas,Female,54,City,Cold,Medium,Leisure,3,1,10,August,Bus
87,Amy Turner,Male,39,Lake,Cold,Medium,Leisure,5,0,6,August,Train
88,Michael Thomas,Male,32,Island,Warm,High,Business,2,1,7,July,Train
89,Christopher Walls,Male,51,Countryside,Hot,Low,Business,1,0,8,June,Ferry
90,Meghan Lawson,Male,21,Winery,Cold,High,Leisure,4,1,10,June,Train
91,Jeremy Mullins,Male,21,Lake,Hot,High,Leisure,3,0,6,June,Ferry
92,Mary Collins,Male,30,City,Hot,Medium,Leisure,4,1,6,June,Train
93,Anthony Mendoza,Male,32,Ski Resort,Hot,Medium,Business,3,0,11,June,Ferry
94,Brandi Bryant,Male,38,Ski Resort,Cold,Medium,Business,2,0,2,August,Bus
95,Jeremy Morgan,Female,39,City,Warm,Low,Leisure,4,0,8,June,Airplane
96,Michele Jackson,Female,55,Spa Retreat,Hot,High,Leisure,4,1,5,July,Train
97,Allison Williams,Female,58,City,Cold,Low,Leisure,3,0,12,August,Car
98,Debra Nichols,Female,29,Lake,Hot,Medium,Business,5,1,4,July,Train
99,Kevin Dixon,Female,38,Winery,Warm,Low,Leisure,4,1,9,August,Airplane
100,Douglas Newton,Female,24,Mountain,Cold,Medium,Leisure,2,1,2,July,Car
101,Amy Smith,Female,53,Spa Retreat,Hot,Medium,Leisure,5,1,7,July,Train
102,David Barnes,Male,56,Lake,Warm,Medium,Leisure,2,1,11,July,Bus
103,Willie Hunt,Female,59,Ski Resort,Warm,Low,Leisure,2,0,9,July,Train
104,Jordan Williams,Female,42,Countryside,Cold,Medium,Business,5,1,13,August,Airplane
105,Samantha Sanchez,Female,62,Photography Expedition,Warm,High,Business,2,1,12,July,Ferry
106,Jennifer Walker,Female,24,Island,Cold,High,Leisure,1,0,10,June,Airplane
107,Jon Mitchell,Female,53,Winery,Hot,Medium,Business,4,1,6,June,Ferry
108,Joshua Peters,Male,61,Ski Resort,Cold,High,Business,5,0,3,July,Airplane
109,Amy King,Male,36,Ski Resort,Cold,High,Leisure,3,1,14,August,Bus
110,Jonathan Bradley,Male,50,Village,Cold,High,Leisure,2,1,8,July,Bus
111,Austin Stewart,Female,62,Ski Resort,Warm,Low,Business,3,0,1,June,Bus
112,Brandy Cohen,Male,28,Photography Expedition,Hot,Medium,Business,3,1,3,June,Car
113,Stephanie Bridges,Female,32,Lake,Cold,Medium,Leisure,3,1,11,July,Ferry
114,Molly Gomez,Female,40,Lake,Warm,High,Leisure,5,1,10,July,Ferry
115,Danielle Cooper,Female,64,Village,Cold,High,Leisure,2,0,11,July,Car
116,Nathan Medina,Male,38,Village,Hot,High,Business,4,0,9,June,Car
117,Erin Miller,Female,64,Mountain,Warm,Low,Business,1,1,14,August,Bus
118,Kristi Williamson,Female,31,Lake,Warm,Medium,Leisure,3,1,14,June,Train
119,Terry Mason MD,Female,63,City,Warm,High,Business,2,0,9,August,Bus
120,Lindsay Watkins,Male,55,Village,Cold,Low,Leisure,5,0,13,July,Bus
121,Mary Yoder,Male,44,Countryside,Hot,Low,Business,2,0,7,June,Airplane
122,Alicia Tran,Male,53,Countryside,Cold,Medium,Leisure,1,1,9,July,Bus
123,Cassandra Lee,Male,41,Lake,Warm,Medium,Leisure,2,0,10,June,Ferry
124,Nancy Ray,Male,51,Winery,Hot,Medium,Business,4,1,14,June,Ferry
125,Samantha Aguilar,Male,33,Photography Expedition,Hot,Medium,Leisure,4,1,6,June,Train
126,Chad Morris,Male,52,Ski Resort,Cold,High,Business,5,1,10,July,Airplane
127,Michele Jackson,Male,53,Photography Expedition,Cold,Low,Business,4,1,13,July,Ferry
128,Emily Russell,Female,33,Mountain,Cold,High,Leisure,3,0,13,June,Ferry
129,Stephanie Contreras,Female,53,Countryside,Hot,Medium,Business,4,0,5,July,Ferry
130,Cheryl Colon,Male,51,Island,Cold,Low,Business,2,1,11,June,Airplane
131,Samuel Meyer,Male,51,Ski Resort,Hot,Medium,Business,1,0,4,August,Ferry
132,Mary Rosales,Male,24,Mountain,Hot,Medium,Leisure,1,1,2,August,Bus
133,Brian Adams,Female,23,Ski Resort,Warm,Medium,Leisure,2,1,13,June,Bus
134,Megan Carr,Female,36,Winery,Warm,Medium,Business,3,1,10,August,Train
135,Gregory Frederick,Female,28,Mountain,Cold,High,Business,4,1,12,June,Car
136,Ashley Sosa,Male,49,City,Cold,High,Leisure,1,1,2,August,Airplane
137,Laura Martin,Male,37,Photography Expedition,Hot,High,Leisure,3,1,14,June,Ferry
138,William Hernandez,Female,41,Winery,Cold,Medium,Leisure,2,0,2,June,Airplane
139,Michael Ross,Male,30,Village,Hot,High,Leisure,3,0,7,June,Bus
140,John Smith,Female,25,Island,Cold,High,Business,4,1,10,June,Airplane
141,Linda Allen,Male,48,Photography Expedition,Warm,High,Leisure,4,1,11,June,Bus
142,Erica Arnold,Male,37,Ski Resort,Warm,Medium,Leisure,2,1,10,July,Car
143,Elizabeth Griffin,Male,32,Island,Cold,Medium,Leisure,1,1,13,July,Bus
144,Gary Torres,Male,53,Winery,Hot,Low,Business,2,1,3,July,Train
145,Diane Rowe,Male,29,Spa Retreat,Hot,Low,Leisure,1,1,14,August,Train
146,Jean Perez,Female,43,Countryside,Hot,Medium,Leisure,3,0,10,August,Airplane
147,Gary Torres,Female,45,Lake,Cold,Medium,Business,5,1,12,August,Bus
148,Jared Franklin,Female,54,Winery,Cold,Low,Business,4,0,5,August,Car
149,David Walker,Male,28,Mountain,Warm,High,Business,3,1,5,August,Bus
150,Tracey Green,Male,35,Lake,Hot,Medium,Business,1,0,9,August,Ferry
151,Jacqueline Stephens,Male,25,Ski Resort,Warm,High,Leisure,3,1,11,August,Car
152,Lindsey Crawford,Male,39,Ski Resort,Cold,High,Leisure,3,0,12,August,Airplane
153,Evelyn Watkins,Female,58,Photography Expedition,Cold,Low,Leisure,5,0,10,June,Bus
154,James Collins,Female,61,City,Hot,Low,Business,5,1,7,August,Train
155,Cody Wade,Female,46,Photography Expedition,Cold,Low,Business,2,1,7,August,Airplane
156,Vincent Martin,Male,37,Island,Hot,High,Leisure,4,0,9,July,Car
157,Ronald Price,Female,28,Ski Resort,Cold,High,Leisure,1,0,14,August,Car
158,Kristen Griffin DDS,Male,46,Island,Cold,Low,Business,2,1,11,August,Bus
159,Molly Freeman,Female,28,Countryside,Warm,High,Business,1,0,8,June,Ferry
160,Brendan Kennedy,Male,25,Countryside,Hot,Low,Leisure,2,0,9,July,Car
161,Mr. Johnny Douglas,Male,35,Mountain,Warm,Medium,Leisure,3,1,13,July,Train
162,Richard Dunlap,Female,23,City,Hot,Medium,Leisure,4,0,13,July,Car
163,Brian Palmer,Female,46,Lake,Cold,High,Leisure,2,0,8,August,Airplane
164,Alexa Davis,Female,32,Island,Cold,Low,Business,4,1,3,July,Bus
165,Mr. James Mckenzie,Female,42,City,Warm,High,Leisure,1,0,8,August,Train
166,Nicholas Chaney,Male,59,Island,Warm,Low,Business,5,1,8,June,Train
167,Paul Hodge,Female,58,Photography Expedition,Warm,Medium,Business,2,0,7,July,Bus
168,Christine Williams,Female,20,Mountain,Cold,Medium,Business,5,1,1,July,Car
169,Michael Richardson,Male,57,Spa Retreat,Hot,Medium,Business,5,0,3,June,Car
170,Jacob Rodriguez,Male,43,Photography Expedition,Warm,Low,Business,2,1,2,June,Airplane
171,Jonathan Malone,Female,53,Countryside,Warm,Low,Leisure,2,1,2,July,Car
172,Mary Huynh,Female,35,Photography Expedition,Cold,Low,Business,5,0,8,June,Car
173,Frances Weaver,Female,21,Island,Cold,High,Leisure,1,0,7,June,Airplane
174,Jeffery May,Male,31,Ski Resort,Hot,High,Business,1,1,2,July,Ferry
175,Jennifer Fuentes,Female,53,Photography Expedition,Hot,High,Leisure,2,1,9,June,Train
176,Jenna Perry,Female,50,Mountain,Hot,High,Leisure,5,1,10,August,Airplane
177,Katherine Miller,Male,57,Photography Expedition,Warm,Medium,Leisure,1,0,4,July,Train
178,Ryan Miller,Female,38,Village,Warm,Low,Leisure,3,1,4,June,Car
179,Melissa Ramirez,Female,64,Countryside,Warm,Low,Business,4,1,6,June,Airplane
180,Nathan Walker,Male,34,Ski Resort,Hot,Low,Leisure,4,0,10,August,Bus
181,Larry Conley,Male,41,Lake,Cold,Medium,Business,3,1,7,June,Train
182,Natalie Howard,Female,32,Winery,Warm,High,Business,3,0,13,July,Train
183,Christina Tanner,Female,25,Village,Hot,High,Leisure,4,1,8,June,Airplane
184,Christopher James,Male,28,Photography Expedition,Hot,Medium,Leisure,4,0,11,July,Train
185,John Fisher,Male,57,Mountain,Hot,High,Leisure,4,1,6,July,Car
186,Olivia Garcia,Male,38,Village,Hot,Low,Leisure,3,1,3,June,Bus
187,Daniel Alexander,Male,22,Village,Cold,Low,Business,5,0,14,July,Car
188,Jeanne Sims,Male,57,Mountain,Cold,Low,Business,5,1,13,August,Car
189,Jose Henry,Male,50,City,Cold,High,Business,4,0,14,July,Car
190,David Becker,Female,39,Lake,Warm,Medium,Leisure,3,1,11,August,Train
191,Travis Farmer,Male,28,Spa Retreat,Hot,High,Leisure,4,1,4,August,Car
192,Dustin Miller,Male,30,Winery,Warm,Medium,Business,4,1,14,July,Airplane
193,Kaylee Riley,Female,27,Photography Expedition,Cold,Medium,Leisure,2,1,10,July,Airplane
194,Cassie Reilly,Female,52,Mountain,Hot,High,Business,3,0,2,June,Car
195,Kimberly Stephens,Male,54,Countryside,Cold,Low,Leisure,5,0,3,July,Ferry
196,Danielle Clark,Female,35,Village,Cold,Low,Business,4,1,6,June,Airplane
197,Heather Nelson,Female,20,Countryside,Cold,High,Leisure,2,0,2,June,Bus
198,Caitlin Osborne,Female,18,Photography Expedition,Cold,Low,Leisure,2,0,10,June,Train
199,Brandy Hess,Female,53,Countryside,Warm,Low,Leisure,1,1,11,August,Train
200,Tracy Crawford,Female,37,Mountain,Cold,High,Leisure,1,1,1,August,Bus
201,Amanda Andrews DVM,Female,59,Winery,Cold,High,Leisure,2,1,9,June,Airplane
202,Joshua Lewis,Female,46,Village,Hot,Medium,Business,1,1,11,July,Airplane
203,Anthony Miller,Male,21,Island,Warm,Medium,Leisure,3,0,12,June,Car
204,Terry Johnson Jr.,Female,40,Winery,Warm,High,Business,3,0,3,June,Bus
205,Taylor Arnold,Female,33,Mountain,Warm,Low,Leisure,2,0,14,July,Ferry
206,Natasha Blankenship,Male,57,City,Cold,Low,Leisure,1,1,8,July,Car
207,Mr. Anthony Schmidt,Male,40,City,Cold,Medium,Leisure,5,1,8,August,Airplane
208,Willie Mosley,Male,54,Mountain,Cold,Low,Business,2,1,11,June,Bus
209,Jennifer Pineda,Male,18,Countryside,Cold,Low,Leisure,4,0,12,July,Car
210,William Miller,Male,50,Mountain,Cold,Low,Business,1,0,13,July,Car
211,Anthony Olson,Female,29,Mountain,Cold,High,Business,3,1,9,August,Ferry
212,Donald Richardson,Female,25,Spa Retreat,Warm,High,Business,4,0,13,August,Ferry
213,Lisa Ware,Female,22,Winery,Cold,High,Business,2,1,9,August,Bus
214,Sean Wilson,Male,35,Ski Resort,Hot,High,Leisure,5,0,14,July,Bus
215,Cynthia Jones,Male,49,Countryside,Warm,Low,Leisure,2,0,9,June,Bus
216,Sean Johnson,Male,51,Mountain,Cold,High,Leisure,3,0,2,July,Airplane
217,April Powers,Female,54,Countryside,Warm,High,Business,1,0,4,August,Bus
218,Anthony Little,Male,25,Mountain,Warm,High,Leisure,3,0,5,July,Train
219,Ashley Combs,Female,56,Ski Resort,Warm,Low,Leisure,2,1,1,July,Bus
220,Peter Long,Male,28,Mountain,Cold,Low,Leisure,3,0,3,July,Ferry
221,Jeremy Patterson,Male,64,Village,Hot,Medium,Business,3,1,11,June,Bus
222,Michael Munoz,Male,43,Lake,Cold,High,Business,4,1,12,August,Ferry
223,Megan George,Female,29,Island,Cold,Low,Business,3,1,14,July,Car
224,Andrea Hall,Male,52,Countryside,Hot,Medium,Business,4,1,14,June,Train
225,Chase Rios,Male,30,Mountain,Hot,Low,Business,2,0,3,August,Bus
226,Vanessa Williams,Male,58,Island,Cold,Medium,Business,2,1,2,August,Bus
227,Katrina Sawyer,Female,39,Village,Warm,Low,Leisure,1,1,11,July,Car
228,Christine Anderson,Female,61,Mountain,Cold,Medium,Business,3,1,12,June,Ferry
229,James Cochran,Female,33,Ski Resort,Cold,Medium,Leisure,4,0,5,June,Airplane
230,Jeffery Martinez,Male,64,Island,Warm,Medium,Leisure,5,1,9,June,Car
231,Debra Mcgee,Male,53,Mountain,Cold,Low,Business,4,1,11,July,Bus
232,Nathan Espinoza,Male,26,Countryside,Cold,High,Leisure,4,1,3,August,Train
233,Chad Parker,Male,55,Spa Retreat,Cold,High,Business,5,0,1,August,Car
234,Anne Rangel,Male,32,City,Cold,High,Business,2,0,10,August,Airplane
235,David Miller,Female,64,Village,Hot,Medium,Business,3,0,7,August,Car
236,Christopher Avila,Male,36,Winery,Hot,Medium,Business,5,0,9,July,Car
237,Melissa Ramirez,Male,21,Spa Retreat,Warm,Low,Business,1,1,10,August,Car
238,Megan Thomas,Male,22,Ski Resort,Hot,Low,Leisure,2,1,4,June,Train
239,Steven Wiggins,Female,30,Mountain,Cold,High,Business,1,1,7,June,Train
240,Leah Lane,Male,63,Lake,Hot,High,Leisure,1,0,8,August,Train
241,Julie King,Male,25,Village,Cold,Low,Leisure,5,0,4,July,Airplane
242,Meghan Lawson,Female,53,City,Hot,Low,Business,5,0,9,July,Airplane
243,Derek Henderson,Male,28,City,Warm,Low,Business,5,1,14,June,Airplane
244,Amanda Paul,Female,53,Village,Cold,Medium,Business,4,0,8,June,Bus
245,Ralph Hodges,Female,38,Countryside,Hot,Medium,Leisure,1,0,10,June,Ferry
246,Mandy Stevenson,Female,59,Ski Resort,Warm,Medium,Leisure,1,1,4,August,Car
247,Andrew Fitzpatrick,Female,64,Ski Resort,Warm,Medium,Leisure,2,1,6,June,Airplane
248,Meghan Smith,Female,60,Lake,Cold,High,Business,5,0,9,June,Ferry
249,Peter Carter,Female,60,Lake,Cold,Low,Business,5,1,10,August,Bus
250,Paul Velez,Male,55,Spa Retreat,Cold,Medium,Business,1,0,13,July,Train
251,Thomas Hernandez,Male,42,Winery,Warm,Low,Business,1,1,6,June,Bus
252,Tony Hansen,Female,24,Mountain,Hot,Medium,Business,2,1,4,August,Airplane
253,Janice Hodges,Female,48,Photography Expedition,Warm,Medium,Business,1,1,12,June,Car
254,Manuel Leach,Male,59,Spa Retreat,Cold,Medium,Leisure,1,0,12,August,Bus
255,Jessica Drake,Male,49,City,Warm,High,Business,2,1,11,August,Airplane
256,Benjamin Chang,Female,40,Island,Warm,Low,Leisure,2,0,4,July,Ferry
257,Dawn Estrada,Female,34,Lake,Hot,High,Leisure,1,0,3,June,Car
258,John Noble,Male,52,Lake,Warm,High,Business,4,1,13,July,Ferry
259,Hannah Freeman DDS,Female,31,Mountain,Hot,High,Leisure,2,0,12,June,Airplane
260,Kimberly Foster,Female,30,Lake,Cold,Medium,Leisure,4,0,13,August,Train
261,William Cox,Female,29,Spa Retreat,Warm,Low,Leisure,1,0,8,June,Ferry
262,Kelly Abbott,Female,42,Village,Hot,Low,Leisure,1,1,4,July,Ferry
263,Amanda Kelley,Female,40,Ski Resort,Cold,Medium,Business,1,1,2,June,Bus
264,Ashley Alexander,Male,55,Village,Hot,Medium,Leisure,5,1,11,July,Train
265,Michelle Villegas,Male,64,Photography Expedition,Warm,Medium,Leisure,4,0,9,August,Bus
266,Jessica Lin,Female,29,Countryside,Cold,Low,Leisure,1,1,5,August,Ferry
267,Maureen Martin,Female,33,Mountain,Hot,Medium,Leisure,5,1,13,July,Ferry
268,Brandy Smith,Female,60,Winery,Cold,High,Business,2,0,3,August,Airplane
269,Gregory King,Male,26,Island,Cold,Low,Business,5,1,1,July,Bus
270,Anne Rangel,Male,61,Island,Hot,High,Business,5,0,9,June,Train
271,Kevin Wilson,Female,53,City,Hot,Medium,Business,3,1,13,July,Airplane
272,David Hughes,Female,57,Spa Retreat,Cold,High,Business,1,1,9,July,Car
273,Benjamin Lewis,Male,53,Island,Hot,Medium,Business,1,0,4,June,Ferry
274,Chloe Rhodes,Male,49,Village,Warm,High,Business,2,1,9,July,Ferry
275,Stephanie Gallegos,Male,53,Lake,Cold,Low,Leisure,2,0,6,June,Train
276,Stephanie Weber,Male,56,Photography Expedition,Hot,High,Business,1,1,12,July,Airplane
277,Blake Salas,Male,55,Island,Cold,High,Business,1,0,13,June,Train
278,Melinda Sanchez,Male,39,Lake,Warm,Medium,Business,1,1,9,August,Airplane
279,James Gutierrez,Female,23,Island,Cold,Medium,Leisure,5,0,11,June,Car
280,Christina Phelps,Male,60,Winery,Cold,High,Leisure,1,1,7,June,Car
281,Christopher Burnett,Female,38,Mountain,Hot,High,Business,2,0,10,July,Car
282,James Nelson,Male,53,Photography Expedition,Cold,Low,Leisure,4,0,4,August,Bus
283,Chase Rios,Female,49,Spa Retreat,Warm,Low,Business,5,1,12,June,Airplane
284,Anne Morris,Male,33,Village,Hot,High,Business,4,0,11,July,Train
285,Hayley Lyons,Female,35,Countryside,Cold,Low,Business,5,0,6,August,Car
286,Edgar Stanley,Female,32,City,Hot,Medium,Leisure,5,1,13,July,Car
287,Jade Ortiz,Male,28,Ski Resort,Cold,Medium,Leisure,5,1,1,July,Car
288,Jose Lopez,Female,34,City,Hot,Medium,Business,1,0,9,July,Ferry
289,Devon Jimenez,Female,62,Spa Retreat,Hot,Low,Business,1,1,8,August,Ferry
290,Ashley Baker,Female,33,Ski Resort,Cold,Medium,Leisure,1,1,3,June,Car
291,Bradley Jones,Male,40,Island,Warm,Medium,Business,4,1,6,August,Airplane
292,Ruth Reyes,Male,62,Island,Warm,Medium,Leisure,2,0,11,June,Train
293,Shari Rodriguez,Female,39,Spa Retreat,Hot,Low,Business,4,1,1,July,Ferry
294,Tara Hardy,Female,31,Winery,Hot,High,Leisure,4,1,6,July,Ferry
295,Heather Washington,Female,28,Ski Resort,Hot,High,Business,2,1,6,June,Airplane
296,Jonathan Malone,Male,59,Photography Expedition,Hot,High,Leisure,3,0,7,June,Train
297,Catherine Moss,Female,38,Ski Resort,Hot,Medium,Business,5,0,4,July,Bus
298,Robert Miller,Male,39,City,Hot,Low,Business,3,0,8,July,Ferry
299,Melissa Reyes,Female,33,Ski Resort,Hot,Medium,Business,2,1,3,June,Train
300,Samantha Page,Female,42,Photography Expedition,Cold,Medium,Leisure,2,0,2,August,Airplane
301,Heather Flynn,Male,39,Mountain,Hot,Medium,Leisure,5,0,1,August,Car
302,Kelly Chase,Female,19,Winery,Hot,High,Leisure,4,0,12,June,Ferry
303,Curtis Olsen,Female,38,Island,Warm,Medium,Leisure,1,1,13,June,Ferry
304,William Cobb,Female,64,Photography Expedition,Warm,High,Business,1,0,9,July,Train
305,Tiffany Medina DVM,Male,43,City,Hot,Low,Leisure,2,1,5,July,Ferry
306,Keith Thompson,Female,45,Winery,Cold,Low,Leisure,3,0,4,August,Ferry
307,Daniel Brown,Female,19,City,Cold,Medium,Business,3,1,1,June,Bus
308,Michael Sharp,Female,28,Lake,Hot,Medium,Leisure,5,0,5,June,Car
309,Barbara Suarez,Female,48,Mountain,Hot,High,Business,5,1,3,August,Bus
310,Janice Smith,Female,31,City,Cold,Low,Business,2,0,6,June,Car
311,Alicia Stewart,Female,27,City,Warm,Low,Leisure,4,1,2,August,Train
312,Jesse Tucker,Female,42,Island,Hot,Medium,Leisure,4,0,3,June,Airplane
313,Gina Vazquez,Male,62,Spa Retreat,Hot,Low,Business,4,0,7,August,Bus
314,Robert Bean,Female,50,Village,Cold,Medium,Business,2,0,5,August,Ferry
315,Christopher Small,Female,37,Mountain,Hot,Medium,Leisure,3,1,3,July,Car
316,Cameron White,Male,48,Spa Retreat,Hot,High,Business,4,1,3,June,Ferry
317,Kenneth Edwards,Male,50,City,Hot,Low,Business,5,1,11,August,Bus
318,Michael Smith,Male,44,Photography Expedition,Warm,High,Business,4,0,14,August,Train
319,Michele Porter,Female,59,City,Hot,Medium,Leisure,3,0,4,August,Train
320,Nathan Daugherty,Male,28,Lake,Cold,Medium,Leisure,2,0,2,August,Bus
