,Name,Gender,Age,Destination_Category,Temperature,Budget,Purpose,Num_of_People,Families,Duration,Travel Months,Transportation,Hobby,Language
35,Jon Gonzalez,Male,64,Countryside,Hot,High,Leisure,2,1,5,June,Car,Culinary,EN
36,Rachel Hayes,Female,43,Lake,Cold,Medium,Leisure,2,1,11,July,Car,Culinary,EN
37,Dylan Powell,Male,37,Spa Retreat,Cold,Low,Leisure,1,1,3,June,Bus,Outdoor Exploration,ZH
38,Rachel Lee,Female,60,City,Hot,Medium,Business,5,1,7,July,Bus,Outdoor Exploration,ZH
39,Justin Stone,Female,47,Mountain,Cold,Medium,Business,5,0,2,June,Car,Physical Sports,EN
40,Jamie Delgado,Male,37,Photography Expedition,Cold,Medium,Leisure,4,1,14,July,Car,Culinary,EN
41,Cynthia Sheppard,Female,55,City,Cold,High,Leisure,4,1,13,July,Ferry,Creative Arts,FR
42,Emily Bryant,Female,30,Island,Cold,Low,Leisure,2,0,13,June,Airplane,Culinary,FR
43,Victor Black,Female,44,Photography Expedition,Hot,High,Business,4,0,12,June,Airplane,Physical Sports,FR
44,Beth Chavez,Female,38,Winery,Warm,Medium,Business,1,1,1,July,Bus,Physical Sports,ZH
45,Tyler Odonnell,Female,55,Winery,Warm,Low,Business,1,1,2,June,Bus,Creative Arts,FR
46,Sean Huffman,Male,29,Ski Resort,Warm,Medium,Business,1,0,12,August,Car,Creative Arts,FR
47,Zachary Warren,Male,29,Countryside,Warm,Low,Business,2,0,12,July,Train,Intellectual Pursuits,ZH
48,Anthony Hester,Female,58,Ski Resort,Warm,Medium,Leisure,3,0,9,August,Train,Culinary,EN
49,Daniel Johnson,Female,34,Lake,Hot,Medium,Leisure,5,0,7,July,Bus,Intellectual Pursuits,FR
50,James Thompson,Female,53,Lake,Cold,Medium,Business,2,0,2,July,Car,Intellectual Pursuits,ZH
51,Marie Moore,Female,56,Winery,Cold,Medium,Leisure,1,1,6,June,Ferry,Creative Arts,FR
52,John Johnson,Female,32,Winery,Warm,Medium,Leisure,2,0,2,June,Airplane,Intellectual Pursuits,ZH
53,Sarah Moore,Male,35,Ski Resort,Warm,High,Leisure,2,0,8,July,Ferry,Creative Arts,ZH
54,Nicholas Morales,Female,64,City,Warm,Medium,Business,1,0,1,August,Car,Culinary,FR
55,John Schmitt,Female,18,Winery,Cold,High,Leisure,2,1,10,August,Train,Outdoor Exploration,FR
56,Jessica Hunt,Male,23,Ski Resort,Warm,Low,Leisure,1,0,7,August,Train,Outdoor Exploration,FR
57,Justin Lee,Male,24,Lake,Hot,Low,Leisure,5,1,6,June,Bus,Physical Sports,EN
58,Amy Kane,Female,60,Mountain,Hot,Medium,Leisure,4,1,10,June,Bus,Intellectual Pursuits,FR
59,Deborah Porter,Female,58,Island,Warm,High,Business,1,0,3,August,Ferry,Culinary,EN
60,Mckenzie Greene,Male,35,City,Hot,Medium,Business,2,1,7,July,Bus,Physical Sports,ZH
61,Brianna Black,Female,55,Ski Resort,Warm,High,Leisure,1,0,8,July,Ferry,Intellectual Pursuits,FR
62,Nathan Castillo,Male,58,Photography Expedition,Cold,Medium,Business,2,1,8,June,Bus,Outdoor Exploration,ZH
63,Lisa Smith,Male,47,Countryside,Cold,Medium,Business,2,0,12,August,Car,Intellectual Pursuits,FR
64,Rachel Mendez,Male,53,Countryside,Hot,Low,Business,2,0,2,June,Bus,Culinary,FR
65,Laura Sullivan,Male,52,Ski Resort,Warm,Low,Business,1,1,3,June,Car,Outdoor Exploration,ZH
66,Catherine Good,Female,50,Island,Cold,High,Business,5,0,2,June,Train,Outdoor Exploration,EN
67,Morgan Owens,Male,26,Island,Hot,Medium,Business,2,1,10,August,Airplane,Intellectual Pursuits,ZH
68,Jeremy Dorsey,Male,33,Winery,Warm,Low,Business,1,0,4,June,Bus,Intellectual Pursuits,FR
69,Miss Breanna Mitchell,Female,31,Winery,Hot,High,Business,3,0,8,June,Train,Intellectual Pursuits,EN
70,Krystal Brennan,Male,55,Spa Retreat,Cold,Low,Business,3,1,9,June,Train,Intellectual Pursuits,EN
71,Jason Branch,Female,51,Ski Resort,Warm,Medium,Business,4,1,13,August,Car,Creative Arts,ZH
72,Cynthia Buck,Female,21,Countryside,Hot,High,Business,1,1,1,June,Car,Outdoor Exploration,FR
73,Emily Ortiz,Male,49,Countryside,Cold,Medium,Leisure,4,0,1,July,Airplane,Physical Sports,ZH
74,Vincent Davis,Female,37,Lake,Warm,High,Business,2,1,5,June,Ferry,Intellectual Pursuits,FR
75,Tony Hall,Male,37,Spa Retreat,Cold,High,Leisure,5,1,10,August,Car,Outdoor Exploration,ZH
76,Daniel Reilly,Female,45,Mountain,Hot,Medium,Leisure,2,0,6,July,Bus,Culinary,ZH
77,Michael Faulkner,Male,35,Photography Expedition,Hot,Medium,Leisure,1,0,8,June,Airplane,Creative Arts,ZH
78,Brian Thomas DDS,Female,51,Lake,Hot,Medium,Business,3,0,7,July,Car,Intellectual Pursuits,ZH
79,Edgar Martin,Male,33,Spa Retreat,Hot,High,Business,4,1,10,August,Airplane,Creative Arts,FR
80,Jennifer Bishop,Female,64,Lake,Hot,High,Business,2,0,12,August,Airplane,Outdoor Exploration,EN
81,Sandra Camacho,Female,50,Winery,Warm,Medium,Business,1,0,11,August,Ferry,Culinary,FR
82,Anna Tate,Male,53,Mountain,Cold,Medium,Leisure,1,0,5,July,Airplane,Creative Arts,ZH
83,Jennifer Williams,Male,34,Island,Cold,Medium,Leisure,2,1,8,August,Train,Outdoor Exploration,FR
84,Elizabeth Compton,Female,29,Village,Warm,Medium,Leisure,2,1,9,July,Bus,Outdoor Exploration,FR
85,Melissa Salazar,Female,59,Ski Resort,Cold,Medium,Business,3,0,4,June,Car,Physical Sports,ZH
86,Nancy Esparza,Female,52,Mountain,Hot,High,Business,4,1,8,June,Airplane,Outdoor Exploration,EN
87,Joseph Reyes,Female,44,Island,Cold,High,Leisure,4,0,3,June,Ferry,Creative Arts,ZH
88,Rachel Patton,Female,52,Winery,Warm,High,Leisure,2,1,5,July,Bus,Culinary,FR
89,Jessica Rojas,Female,19,Mountain,Cold,Medium,Business,5,1,9,July,Ferry,Outdoor Exploration,FR
90,Richard Thompson,Female,35,Photography Expedition,Warm,Low,Business,3,0,9,July,Car,Intellectual Pursuits,FR
91,Amy Hernandez,Male,22,Island,Warm,Medium,Leisure,4,1,5,August,Train,Physical Sports,FR
92,Scott Thompson,Male,32,Mountain,Warm,Low,Business,1,0,12,July,Bus,Culinary,ZH
93,Laura Baker,Female,31,Spa Retreat,Cold,Low,Leisure,4,0,10,June,Airplane,Culinary,FR
94,Rebecca Davis,Female,27,Mountain,Cold,Low,Business,2,1,3,July,Train,Physical Sports,FR
95,Dakota Daniels,Female,36,Island,Warm,Low,Business,3,1,7,June,Bus,Physical Sports,EN
96,Douglas Burgess,Female,43,Winery,Warm,High,Leisure,4,0,1,July,Ferry,Creative Arts,FR
97,Mrs. Alyssa Ali,Male,53,Lake,Hot,High,Business,3,0,13,August,Car,Outdoor Exploration,EN
98,Megan Whitney,Male,35,Island,Warm,Low,Leisure,4,1,1,August,Ferry,Intellectual Pursuits,EN
99,Stacy Phillips,Female,55,Ski Resort,Cold,High,Leisure,1,0,1,July,Train,Creative Arts,FR
100,Jennifer Smith,Male,44,Lake,Hot,Low,Business,2,0,5,June,Train,Intellectual Pursuits,EN
101,Kimberly Wright,Female,35,Countryside,Warm,Low,Business,2,0,13,June,Ferry,Physical Sports,EN
102,Miranda Reed,Female,31,Island,Warm,High,Business,5,0,11,July,Bus,Culinary,FR
103,Jimmy Mason,Male,55,Countryside,Cold,Medium,Business,2,1,12,June,Car,Outdoor Exploration,ZH
104,Vicki Ray,Female,47,Mountain,Warm,High,Business,4,1,8,August,Airplane,Physical Sports,FR
105,Connor Davis,Male,30,Photography Expedition,Hot,High,Business,5,1,1,June,Ferry,Culinary,EN
106,Ryan Jefferson,Female,41,Ski Resort,Warm,High,Leisure,2,1,11,July,Airplane,Culinary,EN
107,Zachary Reese,Male,26,City,Hot,Medium,Business,5,0,3,August,Ferry,Culinary,ZH
108,Michael Herring,Male,53,Winery,Hot,Medium,Business,5,1,5,July,Car,Intellectual Pursuits,EN
109,David Palmer,Female,52,City,Hot,Low,Leisure,1,1,14,July,Ferry,Intellectual Pursuits,FR
110,Vickie Glover,Male,21,Photography Expedition,Warm,Medium,Leisure,1,0,2,June,Car,Outdoor Exploration,ZH
111,Christopher Anderson,Male,43,Countryside,Warm,Low,Leisure,5,0,11,August,Bus,Physical Sports,EN
112,April Obrien,Male,36,Island,Cold,High,Business,3,1,9,June,Ferry,Physical Sports,ZH
113,Laura Rich,Female,32,Island,Warm,High,Leisure,4,1,12,June,Bus,Creative Arts,ZH
114,Stephanie Brown,Female,49,Mountain,Cold,Medium,Business,3,0,2,August,Car,Physical Sports,FR
115,Stacy Sanders,Female,58,Lake,Cold,Low,Leisure,4,1,4,July,Airplane,Outdoor Exploration,FR
116,Jason Hall,Male,22,Lake,Cold,Low,Leisure,1,0,14,August,Airplane,Creative Arts,ZH
117,Gregory Brown,Female,19,Lake,Warm,Low,Leisure,5,1,7,July,Bus,Physical Sports,FR
118,Troy Hughes,Male,63,Spa Retreat,Cold,Medium,Business,5,1,14,August,Ferry,Physical Sports,EN
119,Kelly Martin,Female,20,Spa Retreat,Hot,Medium,Business,5,1,11,August,Car,Outdoor Exploration,EN
120,Timothy Cruz,Female,64,Lake,Hot,Low,Leisure,4,1,6,August,Bus,Creative Arts,ZH
121,Thomas Hansen,Female,52,Lake,Hot,Medium,Leisure,2,1,3,July,Ferry,Culinary,ZH
122,Cassandra Roberts,Male,49,Village,Hot,Medium,Leisure,4,1,14,August,Train,Intellectual Pursuits,ZH
123,Madeline Patrick,Female,63,City,Hot,High,Business,5,1,9,June,Airplane,Culinary,FR
124,Michael Mckenzie,Male,64,Spa Retreat,Hot,High,Business,1,1,10,August,Bus,Physical Sports,ZH
125,Annette White,Male,51,City,Hot,Low,Business,1,1,6,June,Bus,Physical Sports,ZH
126,Harry Ross,Male,23,Mountain,Cold,Medium,Leisure,2,1,3,July,Bus,Outdoor Exploration,ZH
127,David Hughes,Female,29,Photography Expedition,Cold,High,Business,4,0,6,July,Ferry,Culinary,EN
128,Brandon Kelly,Male,21,Ski Resort,Warm,Low,Leisure,4,0,8,August,Bus,Creative Arts,FR
129,Morgan Foley,Female,39,Village,Cold,Medium,Business,2,1,5,June,Airplane,Outdoor Exploration,EN
130,Allison Salas,Male,59,Village,Warm,Low,Business,4,1,3,July,Bus,Intellectual Pursuits,ZH
131,Kimberly Wood,Female,41,Island,Cold,High,Business,2,0,1,July,Train,Creative Arts,FR
132,David Herrera,Male,31,Island,Warm,Low,Leisure,1,1,14,July,Airplane,Creative Arts,EN
133,Paige Jensen,Female,47,Spa Retreat,Cold,Medium,Business,2,1,2,August,Airplane,Culinary,EN
134,Regina Camacho,Male,59,Mountain,Warm,High,Leisure,4,0,1,August,Car,Intellectual Pursuits,FR
135,Mrs. Casey Williams,Female,48,Spa Retreat,Warm,High,Business,5,1,6,June,Train,Creative Arts,ZH
136,Lauren Valdez,Male,24,Lake,Cold,High,Leisure,4,1,9,July,Bus,Physical Sports,EN
137,Brittany Brown,Female,50,Photography Expedition,Cold,Medium,Leisure,4,1,10,June,Airplane,Outdoor Exploration,FR
138,Daniel Gordon,Male,42,Spa Retreat,Hot,Low,Business,2,1,4,June,Airplane,Culinary,ZH
139,Michael Booker,Female,44,Village,Hot,Low,Business,2,0,1,August,Car,Intellectual Pursuits,FR
140,James Griffith,Female,37,Mountain,Cold,Medium,Leisure,5,0,5,July,Car,Culinary,FR
141,Michael Coffey,Female,22,Village,Cold,High,Business,1,1,5,July,Airplane,Creative Arts,FR
142,Patricia Myers,Female,60,Countryside,Cold,Low,Business,4,0,2,August,Train,Physical Sports,ZH
143,Karen Jackson,Female,49,Mountain,Warm,High,Business,3,1,2,July,Car,Outdoor Exploration,FR
144,Mr. Tony Hanna,Male,19,Photography Expedition,Hot,Low,Leisure,4,0,3,June,Bus,Culinary,ZH
145,Robert Flynn,Male,46,Ski Resort,Warm,High,Leisure,3,1,3,August,Ferry,Physical Sports,ZH
146,Jerry Ramirez,Female,47,City,Warm,High,Leisure,1,0,1,June,Airplane,Physical Sports,EN
147,Michael Brown,Male,56,Countryside,Warm,Low,Leisure,5,1,4,August,Ferry,Creative Arts,ZH
148,Ashley Morgan,Female,22,Lake,Hot,High,Leisure,4,0,14,August,Car,Outdoor Exploration,FR
149,Robert Henderson,Male,43,Lake,Cold,High,Business,3,1,2,August,Train,Physical Sports,ZH
150,Larry Melton,Male,30,Village,Warm,Low,Business,3,1,4,June,Bus,Creative Arts,ZH
151,John Davis,Female,58,Village,Cold,Low,Leisure,1,0,11,August,Ferry,Intellectual Pursuits,ZH
152,Lori Garcia MD,Female,45,City,Cold,High,Business,3,1,2,August,Ferry,Outdoor Exploration,ZH
153,Charles Hughes,Male,28,Lake,Warm,High,Business,4,0,4,June,Ferry,Intellectual Pursuits,ZH
154,Samantha Lewis,Male,56,Island,Cold,Low,Leisure,2,0,12,August,Car,Outdoor Exploration,FR
155,Logan Durham,Male,58,Lake,Hot,High,Leisure,3,1,7,June,Airplane,Outdoor Exploration,ZH
156,Jesse Caldwell,Male,37,Ski Resort,Cold,Low,Business,1,0,12,August,Bus,Creative Arts,FR
157,Kenneth Bartlett DVM,Female,49,Island,Warm,Low,Leisure,1,1,5,July,Bus,Culinary,EN
158,Michael Klein,Female,25,Countryside,Warm,High,Business,1,0,11,August,Bus,Culinary,FR
159,Valerie Beasley,Male,56,Lake,Hot,Low,Leisure,3,1,14,June,Car,Creative Arts,FR
160,Ryan Butler,Male,26,Lake,Cold,Low,Leisure,3,1,3,June,Airplane,Physical Sports,ZH
161,Spencer Osborne,Female,19,Mountain,Hot,Medium,Leisure,2,0,9,August,Bus,Creative Arts,ZH
162,Jose Stevens,Male,49,Island,Hot,High,Leisure,1,1,4,June,Ferry,Culinary,EN
163,Sean Hunt,Male,24,City,Hot,Medium,Leisure,2,0,4,June,Car,Physical Sports,FR
164,Mary Hayes,Male,43,Island,Hot,High,Business,4,0,2,July,Train,Intellectual Pursuits,EN
165,Jared Barker,Female,20,City,Hot,High,Leisure,3,1,2,July,Car,Culinary,FR
166,Adam Williams,Male,41,Island,Hot,Low,Leisure,3,0,11,August,Ferry,Intellectual Pursuits,ZH
167,William Wilson,Male,61,City,Warm,High,Business,5,0,14,July,Bus,Culinary,ZH
168,Patricia Fritz,Female,60,Countryside,Warm,Low,Business,4,0,14,July,Ferry,Culinary,EN
169,Barry French,Female,26,Winery,Cold,High,Business,4,0,9,June,Airplane,Physical Sports,ZH
170,Deanna Hayes,Male,30,Countryside,Hot,Low,Leisure,2,1,10,July,Airplane,Creative Arts,ZH
171,John Hartman,Female,55,Island,Hot,Medium,Leisure,2,1,14,August,Train,Outdoor Exploration,FR
172,Tracy Townsend,Male,60,Ski Resort,Cold,Low,Business,1,1,5,July,Car,Culinary,ZH
173,Mrs. Crystal Blair,Male,57,Lake,Hot,High,Business,1,1,5,August,Train,Physical Sports,EN
174,Karl Bryant,Female,36,Countryside,Warm,Medium,Business,4,1,1,June,Ferry,Intellectual Pursuits,ZH
175,Patrick Jacobson,Female,18,Ski Resort,Cold,High,Leisure,3,0,1,June,Car,Outdoor Exploration,ZH
176,Nathan Cline,Female,39,Photography Expedition,Warm,Low,Leisure,5,0,13,August,Bus,Physical Sports,FR
177,Jodi Mcdonald,Female,29,Island,Warm,High,Business,5,1,10,June,Bus,Culinary,FR
178,Lisa Watts,Female,38,Photography Expedition,Hot,Medium,Business,3,1,6,June,Airplane,Culinary,ZH
179,Deborah Howard MD,Male,39,Ski Resort,Warm,Medium,Business,2,1,9,July,Car,Outdoor Exploration,FR
180,Kelly Morrison,Female,61,Spa Retreat,Hot,Low,Business,2,0,9,June,Bus,Creative Arts,ZH
181,Colton Johnson,Male,47,Winery,Warm,Medium,Business,4,1,8,August,Ferry,Creative Arts,FR
182,Michele Williams,Male,29,Winery,Warm,Low,Leisure,4,1,4,June,Airplane,Physical Sports,ZH
183,Veronica Mccarthy,Male,41,Winery,Hot,High,Leisure,1,0,4,June,Train,Creative Arts,FR
184,Patricia Shannon,Female,48,Winery,Hot,Medium,Leisure,5,1,1,June,Car,Creative Arts,ZH
185,Robert Ortiz,Male,37,Winery,Warm,Low,Business,5,1,14,August,Train,Physical Sports,ZH
186,Ronald Roberts,Male,20,Mountain,Cold,Low,Business,4,0,9,August,Car,Intellectual Pursuits,ZH
187,Sarah Ramirez,Male,36,Mountain,Warm,High,Business,5,1,4,July,Bus,Outdoor Exploration,FR
188,Mark Graham,Female,40,Mountain,Hot,Medium,Business,3,0,2,June,Ferry,Creative Arts,EN
189,Jeffrey Norris,Male,58,Island,Cold,Medium,Business,5,1,5,July,Bus,Culinary,EN
190,Theresa Hines,Male,55,Countryside,Warm,Medium,Business,2,1,12,July,Airplane,Culinary,FR
191,Dale Dyer,Female,38,Mountain,Warm,High,Leisure,2,0,12,July,Train,Culinary,FR
192,Brian Ellis,Male,35,Village,Cold,Low,Business,2,1,1,June,Airplane,Physical Sports,ZH
193,Jeanette Gilmore,Female,28,Spa Retreat,Warm,Low,Business,3,0,13,August,Ferry,Physical Sports,ZH
194,James Singh,Female,37,Island,Cold,Medium,Business,3,1,8,July,Ferry,Outdoor Exploration,FR
195,Kimberly Hatfield,Male,49,Village,Warm,Medium,Leisure,4,1,3,August,Train,Creative Arts,FR
196,David Cross,Female,35,Countryside,Warm,High,Business,1,1,13,August,Train,Outdoor Exploration,FR
197,Jeffrey Nelson,Female,29,Countryside,Hot,Medium,Business,3,0,5,July,Airplane,Intellectual Pursuits,EN
198,Philip Jackson,Male,56,Spa Retreat,Hot,Low,Leisure,2,0,9,August,Car,Outdoor Exploration,FR
199,Mark Welch,Female,60,Island,Warm,Medium,Business,3,1,8,July,Airplane,Intellectual Pursuits,FR
200,Nicholas Green,Female,57,Mountain,Hot,High,Leisure,3,1,13,August,Bus,Intellectual Pursuits,ZH
201,Brian Ellis,Male,63,Photography Expedition,Cold,High,Business,5,1,6,June,Ferry,Creative Arts,FR
202,Jessica Williams,Female,42,City,Hot,High,Leisure,3,1,6,August,Ferry,Intellectual Pursuits,ZH
203,James Smith,Male,24,City,Hot,High,Leisure,3,0,11,July,Car,Intellectual Pursuits,ZH
204,Christine Gonzalez,Male,22,Island,Hot,Medium,Business,3,1,14,June,Train,Outdoor Exploration,EN
205,Mario Aguilar,Female,22,Spa Retreat,Warm,Medium,Business,5,0,8,July,Airplane,Culinary,ZH
206,Gilbert Lewis,Male,21,City,Cold,High,Leisure,3,1,13,June,Car,Intellectual Pursuits,EN
207,Sarah Riley,Female,38,Photography Expedition,Warm,Medium,Business,4,0,3,July,Train,Culinary,EN
208,Julie West,Male,39,Countryside,Hot,Medium,Leisure,5,0,12,July,Ferry,Outdoor Exploration,ZH
209,Wayne Melton,Female,27,Spa Retreat,Warm,Medium,Business,1,1,13,June,Car,Culinary,EN
210,Bridget Contreras,Male,43,City,Cold,Medium,Leisure,3,0,9,August,Train,Creative Arts,EN
211,Stacie Barker,Male,26,Lake,Warm,High,Business,2,0,13,June,Train,Outdoor Exploration,ZH
212,Nicole Gardner,Female,49,City,Warm,Low,Leisure,3,1,5,July,Bus,Creative Arts,FR
213,Victoria Yoder,Male,48,Winery,Cold,Medium,Business,4,1,6,June,Car,Outdoor Exploration,ZH
214,Lisa Liu,Male,21,Winery,Hot,High,Business,2,0,8,July,Ferry,Physical Sports,EN
215,James Alvarez,Male,26,Lake,Warm,High,Leisure,2,1,10,June,Ferry,Culinary,FR
216,Vincent Andrade,Female,43,Winery,Hot,High,Business,3,1,12,July,Bus,Culinary,ZH
217,Amanda Yates,Female,23,City,Hot,High,Leisure,1,1,9,July,Train,Intellectual Pursuits,ZH
218,Jerry Gonzalez,Male,31,Countryside,Cold,Low,Business,5,1,5,August,Ferry,Intellectual Pursuits,EN
219,Daniel Shaw,Male,27,Island,Hot,High,Leisure,4,1,12,August,Train,Intellectual Pursuits,FR
220,Matthew Rice,Female,52,Ski Resort,Hot,High,Leisure,2,1,11,July,Car,Physical Sports,FR
221,Nicole Gardner,Male,39,Island,Hot,Low,Business,1,1,5,June,Train,Culinary,EN
222,Jo Johnson,Female,25,Countryside,Hot,High,Business,5,1,1,August,Car,Culinary,EN
223,Brandi Bautista DVM,Female,19,Winery,Warm,Medium,Business,2,0,14,August,Airplane,Outdoor Exploration,EN
224,Robin Peterson,Male,37,Winery,Cold,High,Leisure,1,1,1,June,Train,Culinary,FR
225,Richard Brown,Male,51,Countryside,Cold,High,Leisure,2,1,10,August,Car,Culinary,ZH
226,David Jordan,Female,60,Photography Expedition,Cold,High,Business,2,0,8,July,Ferry,Outdoor Exploration,EN
227,Robert Schultz,Female,21,Winery,Warm,High,Leisure,2,0,11,August,Car,Physical Sports,FR
228,Peggy Burns,Female,25,Mountain,Hot,Medium,Business,1,0,2,August,Train,Outdoor Exploration,FR
229,Andrew Keller,Male,61,Lake,Hot,High,Business,3,1,2,August,Ferry,Creative Arts,ZH
230,Walter Jones,Female,58,Island,Warm,Medium,Leisure,5,1,4,August,Ferry,Physical Sports,FR
231,Jessica Mccann,Male,47,Mountain,Hot,Medium,Business,2,0,3,August,Train,Physical Sports,FR
232,Donna Smith,Male,54,Lake,Warm,Medium,Leisure,5,1,13,August,Bus,Physical Sports,EN
233,Christopher James,Male,49,Lake,Cold,Medium,Leisure,2,1,11,June,Car,Creative Arts,FR
234,Steven Espinoza,Female,25,Spa Retreat,Cold,Low,Leisure,5,1,6,July,Bus,Culinary,FR
235,Matthew Fisher,Male,50,Lake,Cold,High,Business,4,1,13,July,Bus,Creative Arts,ZH
236,Michael Peters,Male,56,Photography Expedition,Hot,Medium,Leisure,1,0,5,August,Train,Outdoor Exploration,ZH
237,Michelle Foley,Female,26,Island,Cold,Medium,Business,5,0,2,July,Car,Creative Arts,ZH
238,Barbara Gonzalez,Female,37,Winery,Cold,Medium,Leisure,3,0,3,August,Train,Creative Arts,FR
239,Steven Maldonado,Male,55,Ski Resort,Warm,High,Leisure,5,0,9,June,Bus,Outdoor Exploration,FR
240,Heather Nunez,Male,48,Photography Expedition,Cold,Low,Business,4,1,4,July,Train,Culinary,EN
241,Joseph Carr,Male,44,Island,Hot,Low,Business,5,0,14,July,Ferry,Creative Arts,FR
242,Kristina Reilly,Male,42,City,Cold,High,Business,5,1,6,August,Car,Physical Sports,FR
243,Emily Harvey,Female,34,Photography Expedition,Warm,Low,Business,1,0,14,August,Airplane,Creative Arts,ZH
244,Brittany Smith MD,Female,33,Village,Hot,Medium,Business,1,0,11,June,Train,Physical Sports,FR
245,Donald Acosta,Male,22,Countryside,Hot,High,Business,1,0,2,June,Airplane,Outdoor Exploration,EN
246,James Harmon,Male,58,Village,Cold,Medium,Business,3,1,12,June,Airplane,Creative Arts,ZH
247,Ashley Juarez,Male,49,Countryside,Warm,High,Leisure,5,0,2,June,Train,Creative Arts,FR
248,Tiffany Calhoun,Female,32,Mountain,Hot,High,Business,5,1,6,August,Train,Physical Sports,EN
249,Carmen Noble,Male,28,Spa Retreat,Hot,Low,Leisure,5,1,13,July,Ferry,Physical Sports,EN
250,Melissa Ball,Female,53,Spa Retreat,Hot,High,Business,5,0,2,July,Car,Physical Sports,ZH
251,Deborah Smith,Male,22,Lake,Cold,Low,Leisure,4,0,2,August,Train,Outdoor Exploration,ZH
252,Dr. John Warren,Male,29,Village,Hot,Medium,Leisure,2,1,10,August,Ferry,Creative Arts,EN
253,Joshua Herman,Female,61,Photography Expedition,Warm,Medium,Leisure,4,1,4,July,Airplane,Culinary,EN
254,Troy Mueller,Male,50,Countryside,Warm,Low,Leisure,1,1,6,June,Train,Physical Sports,EN
